Image,Mean,Var,AG,IE,SF,EI,MI,CE,PSNR,SSIM,RMSE,QG,QM,QCB,QCV,QY,QMI,QSF,QNCIE,QC,QS
25015.png,63.0156,6454.0895,8.1414,4.6274,29.8165,83.0068,2.0248,8.9278,55.1499,0.5292,0.1987,0.8362,0.182,0.8736,27.9471,0.4375,0.7857,0.0433,0.8076,0.4239,0.4014
25022.png,78.5239,7520.2634,10.0533,5.2832,33.6742,102.7087,2.2158,7.1329,54.885,0.6373,0.2111,0.7858,0.1468,0.8727,43.5437,0.5118,0.7465,0.0606,0.8081,0.4898,0.4641
25027.png,82.0963,7266.225,10.7793,5.6612,34.5549,109.8284,2.3057,6.3881,55.0869,0.676,0.2016,0.7744,0.1531,0.8794,45.4689,0.5416,0.721,0.0658,0.8085,0.5222,0.4931
25038.png,94.979,7776.4566,11.5943,6.0545,37.1516,116.2382,2.3772,5.5322,54.9059,0.744,0.2101,0.722,0.1244,0.8785,63.4215,0.5791,0.6855,0.0692,0.8087,0.5413,0.5094
25046.png,97.7396,7777.6277,12.4236,6.2408,39.2955,123.6697,2.3958,5.2746,54.918,0.7651,0.2095,0.7302,0.1218,0.888,63.1714,0.6015,0.6686,0.0645,0.8089,0.5914,0.5303
25055.png,93.875,7358.4454,12.9546,6.3074,40.5812,128.4676,2.3069,5.3917,55.2211,0.7723,0.1954,0.7312,0.1124,0.891,55.742,0.6048,0.6402,0.0585,0.8083,0.571,0.5292
25063.png,85.4327,6796.9347,12.7013,6.3341,40.0129,125.5315,2.3351,5.7917,55.3817,0.7635,0.1883,0.7557,0.1247,0.8916,46.7417,0.6139,0.6476,0.0514,0.8086,0.595,0.5401
25073.png,86.0784,6492.8615,14.5097,6.3968,43.5687,144.0395,2.5747,5.9332,54.9955,0.7713,0.2058,0.8123,0.1548,0.8879,35.7089,0.6497,0.6994,0.0389,0.8108,0.6172,0.5902
30034.png,78.8523,6457.8149,10.0804,5.9486,29.5488,105.1598,2.5107,8.5198,55.0257,0.7127,0.2044,0.8156,0.2308,0.9183,23.688,0.5946,0.7411,0.0469,0.8106,0.5894,0.5388
30043.png,97.8848,7397.0318,12.666,6.5327,36.5502,130.8026,2.5737,5.7704,54.5797,0.8222,0.2265,0.7841,0.1701,0.9429,41.374,0.6661,0.6864,0.0548,0.8106,0.6454,0.5975
30057.png,96.4638,6793.8246,11.38,6.7875,32.2534,117.0064,2.6629,5.2754,54.9976,0.8444,0.2057,0.7467,0.1751,0.9462,53.8027,0.6783,0.6827,0.0692,0.8107,0.6564,0.6011
30062.png,96.063,6606.124,11.8523,6.9108,32.5817,121.8674,2.6575,5.517,55.0698,0.8763,0.2023,0.7571,0.1707,0.9539,47.5179,0.7061,0.6671,0.0666,0.8108,0.7108,0.6441
30066.png,90.0197,6035.4662,11.4436,6.8617,32.1398,118.1504,2.563,6.09,54.9748,0.8827,0.2068,0.7792,0.1651,0.9584,32.4934,0.715,0.6475,0.0568,0.8102,0.7036,0.6499
30071.png,92.4221,6158.5529,12.4377,6.9018,33.8678,128.0388,2.5592,5.921,55.0575,0.8821,0.2029,0.7724,0.1575,0.9654,44.624,0.7116,0.6405,0.0616,0.8102,0.6891,0.6449
30084.png,97.1524,6792.5355,11.7864,6.7281,33.4838,121.2432,2.6021,5.7282,54.7762,0.8298,0.2165,0.7512,0.1596,0.957,56.7037,0.6708,0.6704,0.0651,0.8104,0.6504,0.5885
30092.png,95.7411,6913.3416,12.2059,6.6662,34.4193,125.6432,2.6662,5.7321,54.8907,0.8231,0.2109,0.7656,0.1666,0.9473,51.9344,0.6688,0.6964,0.0608,0.8111,0.6522,0.596
30100.png,90.7753,7222.9908,11.662,6.2653,33.8936,121.5154,2.5598,7.743,54.6427,0.7603,0.2233,0.8036,0.1986,0.9452,28.6576,0.6396,0.715,0.0494,0.8109,0.641,0.5875
41041.png,74.1196,6452.7321,10.352,5.7148,34.3131,106.3381,2.3809,7.4923,55.0174,0.6916,0.2048,0.8409,0.1669,0.8354,21.4732,0.5667,0.7414,0.038,0.8095,0.56,9.7647
41054.png,85.3723,7388.0998,10.458,5.8284,34.4443,107.5796,2.2953,5.8504,55.1143,0.7273,0.2003,0.7737,0.1288,0.8351,33.3306,0.5645,0.6905,0.0546,0.8083,0.5655,0.4958
41066.png,85.2703,6864.6149,10.2189,6.0144,33.0098,105.1912,2.3668,5.1537,55.3852,0.7555,0.1882,0.7438,0.1103,0.8394,43.5147,0.5619,0.6796,0.0674,0.8084,0.5526,0.4944
41071.png,88.1074,7179.0106,10.4635,6.0186,33.4828,107.1523,2.3669,5.2682,55.4345,0.7543,0.186,0.7331,0.1192,0.8405,45.2262,0.564,0.6814,0.0677,0.8084,0.5476,0.4994
41083.png,85.9877,7088.7324,9.6063,5.7787,31.1046,98.9406,2.2352,5.8849,55.7068,0.7213,0.1747,0.7096,0.119,0.8209,55.9053,0.5245,0.6716,0.0752,0.8077,0.5082,0.4525
41094.png,82.2934,6922.0637,9.203,5.4461,30.1372,95.5959,2.1868,6.879,55.5522,0.6645,0.1811,0.717,0.1376,0.816,51.8634,0.4927,0.6981,0.0699,0.8075,0.4585,0.4102
41101.png,74.1007,6562.4714,8.6864,5.0118,28.5245,91.5737,2.0543,8.054,55.858,0.6013,0.1688,0.7411,0.1618,0.7588,45.0111,0.4485,0.7192,0.067,0.8069,0.4147,0.3926
Average,87.18193333333333,6928.262958333334,11.152495833333333,6.096704166666666,34.267091666666666,113.97037499999999,2.4073875,6.30215,55.1094625,0.7503375,0.2009875,0.7659375,0.15240416666666667,0.8893083333333333,44.11939166666667,0.5964,0.6926416666666667,0.0593,0.8092375,0.57905,0.9173208333333333
