Image,IE,AG,SF,VI,MI,PSNR,SSIM,QG,RMSE,CE
25015.png,4.6274,8.1414,29.8165,6454.0895,2.0248,55.1499,0.5292,0.8362,0.1987,8.9278
25022.png,5.2832,10.0533,33.6742,7520.2634,2.2158,54.885,0.6373,0.7858,0.2111,7.1329
25027.png,5.6612,10.7793,34.5549,7266.225,2.3057,55.0869,0.676,0.7744,0.2016,6.3881
25038.png,6.0545,11.5943,37.1516,7776.4566,2.3772,54.9059,0.744,0.722,0.2101,5.5322
25046.png,6.2408,12.4236,39.2955,7777.6277,2.3958,54.918,0.7651,0.7302,0.2095,5.2746
25055.png,6.3074,12.9546,40.5812,7358.4454,2.3069,55.2211,0.7723,0.7312,0.1954,5.3917
25063.png,6.3341,12.7013,40.0129,6796.9347,2.3351,55.3817,0.7635,0.7557,0.1883,5.7917
25073.png,6.3968,14.5097,43.5687,6492.8615,2.5747,54.9955,0.7713,0.8123,0.2058,5.9332
30034.png,5.9486,10.0804,29.5488,6457.8149,2.5107,55.0257,0.7127,0.8156,0.2044,8.5198
30043.png,6.5327,12.666,36.5502,7397.0318,2.5737,54.5797,0.8222,0.7841,0.2265,5.7704
30057.png,6.7875,11.38,32.2534,6793.8246,2.6629,54.9976,0.8444,0.7467,0.2057,5.2754
30062.png,6.9108,11.8523,32.5817,6606.124,2.6575,55.0698,0.8763,0.7571,0.2023,5.517
30066.png,6.8617,11.4436,32.1398,6035.4662,2.563,54.9748,0.8827,0.7792,0.2068,6.09
30071.png,6.9018,12.4377,33.8678,6158.5529,2.5592,55.0575,0.8821,0.7724,0.2029,5.921
30084.png,6.7281,11.7864,33.4838,6792.5355,2.6021,54.7762,0.8298,0.7512,0.2165,5.7282
30092.png,6.6662,12.2059,34.4193,6913.3416,2.6662,54.8907,0.8231,0.7656,0.2109,5.7321
30100.png,6.2653,11.662,33.8936,7222.9908,2.5598,54.6427,0.7603,0.8036,0.2233,7.743
41041.png,5.7148,10.352,34.3131,6452.7321,2.3809,55.0174,0.6916,0.8409,0.2048,7.4923
41054.png,5.8284,10.458,34.4443,7388.0998,2.2953,55.1143,0.7273,0.7737,0.2003,5.8504
41066.png,6.0144,10.2189,33.0098,6864.6149,2.3668,55.3852,0.7555,0.7438,0.1882,5.1537
41071.png,6.0186,10.4635,33.4828,7179.0106,2.3669,55.4345,0.7543,0.7331,0.186,5.2682
41083.png,5.7787,9.6063,31.1046,7088.7324,2.2352,55.7068,0.7213,0.7096,0.1747,5.8849
41094.png,5.4461,9.203,30.1372,6922.0637,2.1868,55.5522,0.6645,0.717,0.1811,6.879
41101.png,5.0118,8.6864,28.5245,6562.4714,2.0543,55.858,0.6013,0.7411,0.1688,8.054
Average,6.096704166666666,11.152495833333333,34.267091666666666,6928.262958333334,2.4073875,55.1094625,0.7503375,0.7659375,0.2009875,6.30215
