image,EN,VAR,AG,SF,EI,MI,NCIE,MI_mutual,NABF,FMI,CE,SSIM,PSNR,RMSE,QG,QM,QC,QS,QCB,QCV,QY,QMI,QSF,QNCIE,QTE
16009.png,4.593686990967275,62.98189909638155,9.900675376218164,41.340473993884764,97.03055353225865,44.89263916015625,0.8070216723181509,2.127739811575731,0.02625533616567439,0.6880432309164544,1.2503946473300547,1.4850638208702285,55.91700196644283,0.16648693735425335,0.6401081301439044,0.006195987629078083,0.5000107084521072,0.4315557724290626,0.8324651989264297,728.7621422347336,0.9297638178639207,0.7736063181181243,0.025293865539749792,0.8070216723181509,-4.63711889590334
16010.png,4.8016579427273385,67.99335551041989,10.688969278479757,42.18227922701822,104.95968200686052,49.87513732910156,0.8076985816004287,2.2479542782314486,0.029099528727410368,0.6651840331929942,1.293862733141776,1.4289391608609558,55.59225507636086,0.1794133904132392,0.6417345466363482,0.005151262597075482,0.5505533698250872,0.4904816637413293,0.8455530749185192,736.3990733289613,0.9321556639133469,0.7794482546646075,0.032972423560887455,0.8076985816004287,-4.279219789011905
16011.png,4.722718404940293,67.13250922587252,9.956634040496294,39.5640390587906,98.9762141151935,49.44868469238281,0.8074297012585898,2.201092809255041,0.02837907464883953,0.6928566615754621,1.3885750759346742,1.4472063793511951,55.56830498540499,0.18040553682009985,0.636960306106843,0.005476447899334064,0.48564021124721407,0.424342943318499,0.7852929443717394,703.246784880598,0.9179043371025861,0.7746293384955665,0.03463429339626299,0.8074297012585898,-4.810171505467836
16012.png,4.63154132063611,66.2907728725268,9.404332351040942,38.457489324024024,93.83284990018399,48.423553466796875,0.8076077240106674,2.233526504404715,0.03013089401919205,0.6975646116190405,1.4340636556830118,1.4691531977136127,55.69213578953701,0.17533425885567094,0.6322933921191719,0.006320861510931016,0.47691417740822034,0.41594436625417885,0.7868130870996386,694.2484062457232,0.921888910039784,0.8001450201800663,0.047695676310204944,0.8076077240106674,-4.831820379803162
16013.png,4.513595158553377,66.77224322709816,9.203985314643088,37.93259515116707,92.21770977393548,48.12385559082031,0.8081265038529671,2.3137320469755336,0.029138138281677984,0.7122935060171482,1.4310089842687284,1.4688894477669145,55.712124354683596,0.17452913064201192,0.657092253587757,0.00651398111726457,0.4580050313562605,0.39504982960622415,0.7304426805876003,703.8791909071793,0.9248758383903574,0.846547794939819,0.04286640890511087,0.8081265038529671,-4.7195452857998745
16014.png,4.360395495964596,65.92467378369986,8.579849766976423,36.8029165439058,86.8218865152506,45.9873046875,0.8083063286716581,2.334066839840987,0.02551126431453745,0.7211943101142916,1.3432732315498097,1.4925678210063376,55.77231919956671,0.17212677860906675,0.6598770500331063,0.010035166979634452,0.453869253942884,0.3882014605440326,0.7058586867239638,663.3584887383668,0.9347622284316555,0.8803365852320139,0.033616392867355537,0.8083063286716581,-4.76391966688895
16015.png,4.214614373466698,67.3386796686528,7.898361651972135,35.916775401600624,79.59762718330701,45.154754638671875,0.8086454378352689,2.384435301670023,0.02716016085424055,0.7337188754534273,1.3945215171302556,1.5411474587806713,55.72571020952939,0.17398401145486908,0.6443328493280018,0.006497381432852737,0.4265813365772944,0.3610803557929997,0.6733960357664538,791.1653264258108,0.9337157199725603,0.9269393775166141,0.04579690629501317,0.8086454378352689,-5.5348692067716545
20013.png,4.354283779103861,63.12167643310369,8.483449142380842,38.88190460218177,84.24923680540086,47.228179931640625,0.8057086325190922,1.8061276272260889,0.028817072036573795,0.6993388563019194,1.7747068889350162,1.4662948175868191,55.072394268289,0.20222783574616804,0.57787982681392,0.0034763949072699053,0.3905307122718095,0.31876476000778364,0.7798468363885631,784.336360347292,0.8862957097588257,0.7044253155248236,0.02525266610466695,0.8057086325190921,-17.58609355619182
2004.png,4.6597428671365755,77.91178428879766,13.70048887651443,54.75408098174303,135.66141207107506,56.20426940917969,0.8040545009259785,1.4582567161816233,0.01910771578156593,0.6446075316106877,2.0939218631300918,1.3567058632221118,54.237061816472774,0.2451174213771669,0.6508192721484274,0.0033601079402059016,0.41556095063814036,0.38315800581388304,0.8273151931987528,773.541989465601,0.859009094257853,0.6016331234244325,0.007974065161261219,0.8040545009259785,-15.922229285820551
2010.png,4.746911232903989,66.80340527111069,10.4597245578785,45.051185658355685,102.66552256012363,55.66093444824219,0.8062286988412409,1.9592824286316404,0.018887996003371436,0.6555007626571346,2.1927276624085494,1.4413879536221499,55.14895847305087,0.19869389053025988,0.6219412433589062,0.004647587692102455,0.45919065923489577,0.38953704335979344,0.8382927159881791,1105.3857249148236,0.8892871141393766,0.73373493255528,0.04563365802448763,0.8062286988412409,-17.80865721006784
