image,EN,VAR,AG,SF,EI,MI,NCIE,MI_mutual,NABF,FMI,CE,SSIM,PSNR,RMSE,QG,QM,QC,QS,QCB,QCV,QY,QMI,QSF,QNCIE,QTE
25015.png,3.9540263733046013,79.05747191124846,8.242757298841711,30.045889534265307,83.80131027861961,48.09654235839844,0.8081633839736102,2.0732905982273304,0.011111049403195135,0.6691126538019666,0.987176622330078,1.546612738020099,55.4134972842306,0.18695222250141855,0.8371507336686218,0.10391230413212516,0.6888178506192719,0.6400053026855739,0.8851507567632696,46.783700549827486,0.9923483398574018,0.8770869662240766,0.03611999138449474,0.8081633839736101,-7.393995874557396
25022.png,4.653277685329993,84.47796736409464,10.47224546702111,34.263626172534785,106.41905661437687,62.37693786621094,0.8092546097504685,2.302598937294755,0.017460789021778597,0.6527469406102346,1.100968194295162,1.464477304004191,55.06613521400783,0.20251949672635317,0.7903812235364175,0.08704646873781141,0.6978810584409612,0.6266334270730969,0.8823614350081599,79.56228202877422,0.9882567597424823,0.8264786388066112,0.044786511876360624,0.8092546097504684,-5.045212539885061
25027.png,4.998262625346737,80.53466845639105,11.070850762455645,35.041931102962984,111.79903813770855,64.1138916015625,0.810009867474354,2.4333433125941824,0.0167176781425654,0.639539361245886,1.0876238772888192,1.40527393289441,55.22642614429476,0.1951810933363683,0.7662053365265338,0.09322653763747586,0.6890157814997965,0.5996747198743394,0.8859331400283995,94.15007404690522,0.9840251790457922,0.8089888628149001,0.053603341459410106,0.810009867474354,-5.162168725666869
25038.png,5.49421643444299,81.18080920781766,12.015503063433542,37.828637681754046,119.35543281248961,72.85205078125,0.8108132047854305,2.5971037984404823,0.018188867413801022,0.621190518718488,1.2364293694086883,1.3158883829035468,54.900535334368755,0.21039083993136953,0.7351850014259588,0.08661674832295113,0.6608639435292432,0.5400318895843856,0.8835458748510084,113.4362388175801,0.9781631748108308,0.785164238822484,0.05254144888546859,0.8108132047854305,-5.5810012185263576
25046.png,5.693550171640796,79.66541008526225,12.727197421695932,39.70941777598133,125.6907910458296,74.31666564941406,0.81123523189749,2.6542714334977013,0.016999140423544976,0.613205409006627,1.2620563568658827,1.2826475276724065,54.88577449887054,0.2111071345810292,0.7377589592036098,0.0847144411567893,0.6734927360832429,0.5549144653763445,0.8904863363727156,110.08925031971594,0.9770885144670695,0.7753847522850935,0.054628157448753406,0.81123523189749,-5.964365582494883
25055.png,5.667353062467814,77.1419687291657,13.146686733480205,40.8624111936578,129.00548511020236,71.15396118164062,0.8105244976310891,2.552311942802988,0.017800874191436517,0.6160933279037083,1.1490290514331025,1.2813001536122042,55.19788755519815,0.19646790101705897,0.7366019130071175,0.07440454907653576,0.6655288891245545,0.5275505192347127,0.8933809181126282,97.60254494490087,0.9752850389244915,0.7477593024996165,0.052133140922876076,0.8105244976310891,-5.877925988825627
25063.png,5.639467908631513,75.81156973855144,12.871320302194148,40.26814136036283,126.38990093510371,66.27169799804688,0.8106483746782558,2.534404574765161,0.01656253396802768,0.6170688511349791,1.062547271165882,1.3000810816209722,55.45637090184989,0.18511570727224985,0.7592944471101853,0.0822700669376812,0.6934205192092812,0.5709078651727001,0.8941530499129859,83.30947008039944,0.978556887913417,0.745676000579448,0.04486532023909773,0.8106483746782558,-6.05883380331585
25073.png,5.834314787166141,74.69976133747348,14.46598702743947,43.52872842576794,142.9041671555708,67.56304931640625,0.8117630123976336,2.608928332037186,0.010290744890108306,0.620496658026453,1.1927812242604534,1.2861763704952844,55.075673160925774,0.2020752127816692,0.8055693709887379,0.09311647158299914,0.7188551264077772,0.6185011850682416,0.8904424847563748,63.53384958764894,0.9811280266657455,0.7412308473439224,0.03910741800220998,0.8117630123976336,-5.559015761782709
30034.png,5.260801435599152,73.96509433610052,10.019372135699088,29.579111089858852,104.35515739751483,59.93409729003906,0.8126992092826824,2.678113604774901,0.009893654821993473,0.649929003125922,1.1935631998432594,1.363088871261256,55.105872173115095,0.2006749408121875,0.8082587767705006,0.1819010740496022,0.6653730042003028,0.5773115355655533,0.9291862027038279,44.48986140869964,0.9836226727006967,0.8400087100345657,0.04623946534709647,0.8126992092826824,-6.063712797261807
30043.png,5.9686053686589196,80.24202374249842,12.512549042559499,36.404685999466146,128.77536879225303,77.23196411132812,0.8131726419354419,2.803720833462636,0.010419259274284286,0.607658684548921,1.3242750295408228,1.2484711287850174,54.623551213986445,0.22424627595330524,0.7717171985137357,0.11689156271316141,0.6723853764989353,0.565547065914615,0.9484323119712434,78.58606769762041,0.9774862476622166,0.7799733069034642,0.059240952960657345,0.8131726419354419,-5.379474509661428
