image,EN,VAR,AG,SF,EI,MI,NCIE,MI_mutual,NABF,FMI,CE,SSIM,PSNR,RMSE,QG,QM,QC,QS,QCB,QCV,QY,QMI,QSF,QNCIE,QTE
16009.png,4.5883588816616125,65.13925737583935,10.067824974360773,42.220585803617006,98.94621419265765,45.77003479003906,0.8068672677020072,2.108127627335592,0.03157172189158205,0.6804889823734442,1.2977506291122716,1.4805316170168346,55.7858927920298,0.1715896473438379,0.6456057807972744,0.005535947163731324,0.5058574439703323,0.4373220234135708,0.836738165299054,755.7410138402612,0.932881413683822,0.7684636536606699,0.04711359234575846,0.8068672677020072,-4.6838777199785175
16010.png,4.8046644538167795,70.14969992109079,10.905606385389376,43.1917356851301,107.34570708339558,50.922210693359375,0.8074208915436649,2.2050537333632736,0.0342315185033234,0.6570850497436138,1.3109438821319563,1.4232536786211039,55.46762192216371,0.18463675919002437,0.6441139518118931,0.005115916498329152,0.5524239623063607,0.49076500283844826,0.8452343441261801,765.5069825196899,0.9344254388282196,0.765777463261664,0.05649423598707761,0.8074208915436649,-4.385196937920312
16011.png,4.7289006169647045,70.49519916177553,10.321250078711207,40.84285038699399,103.06355780445611,51.40234375,0.8074482661377502,2.2114693241641916,0.03633929206894496,0.6879612839814687,1.404583267408364,1.439875885571626,55.4290950409671,0.18628198486806913,0.6458471975011294,0.005261335102841513,0.49332844950029586,0.4276219977078183,0.7852926855217214,741.6830915687135,0.9245966126166327,0.7781976227633983,0.06827351581485179,0.8074482661377502,-4.858426350676981
16012.png,4.645262366282537,69.18326815218309,9.764631398632064,39.64300359161309,97.53789150610004,50.137969970703125,0.8077455371007054,2.2628771253428113,0.03769587787056479,0.6940307881111861,1.440283957408026,1.4577988526576597,55.57487055075022,0.18013300987863237,0.6390316147031315,0.005374984666890429,0.4836420824362084,0.4158498122274856,0.787546369140258,744.4497037385524,0.9259557766982704,0.8091919867508932,0.07999772455071373,0.8077455371007054,-4.846460265546535
16013.png,4.531811087048573,69.17749577921491,9.510573633848702,38.75015869108131,95.42423551611527,50.17918395996094,0.8081779149203987,2.3227464479855735,0.03509767536437584,0.7094930132278833,1.3450910346197087,1.458584572242837,55.64387750627411,0.1772934169706408,0.6622305021338448,0.005366975045334716,0.4643812576318372,0.39512743750786333,0.73039702354908,753.5921791833347,0.9289838910429415,0.8477326974239757,0.06625186346394159,0.8081779149203987,-4.701689867878613
16014.png,4.376694258857523,67.5863704655402,8.823600362976977,37.46905970505083,89.22833115125263,47.5308837890625,0.8082190406162929,2.3146532559434787,0.030822366861457094,0.7183559500006108,1.303160559357826,1.479173371949249,55.721372919973604,0.17415785570361875,0.6637322023148595,0.008480643227032148,0.46049661470569614,0.38784464717975475,0.7059206589163596,728.604459353986,0.9380079430550323,0.8710722092784995,0.05362647302006976,0.8082190406162929,-4.7929480879200925
16015.png,4.22758601956473,69.09520499406817,8.115273670452003,36.6557365309972,81.8159741314777,46.5537109375,0.8086705780189047,2.384746307807216,0.030604628194098402,0.7308052409597497,1.3478049325665002,1.5296422652393988,55.66588743882426,0.17639717148998585,0.6497090787899503,0.006726192916086705,0.4331942441278635,0.3612823139724008,0.6734577908455166,862.1384561056698,0.9365997744636625,0.9250763798729267,0.067931194935056,0.8086705780189047,-5.505217782474481
20013.png,4.378879907705191,68.67305644345271,8.779344925904422,39.97308779419892,87.38962667529745,52.129425048828125,0.8057961233811437,1.8339249507198296,0.03152126177660226,0.6934268538856164,1.763552121352406,1.4600223805544312,55.10729523233074,0.20060919612651296,0.5809952464234608,0.003512199338253893,0.39127361957000945,0.3180986921455583,0.7798216199432599,798.3545559528015,0.8839168402975786,0.7144631662391624,0.05568017936219718,0.8057961233811437,-17.532782654413182
2004.png,4.657811190788671,83.85759165901902,14.009209076148803,55.654457504648434,139.11640597138828,61.02488708496094,0.8041430068810629,1.4812850456391429,0.020634067130968277,0.6440726667318614,2.134560904138551,1.3609203846812694,54.18533464325513,0.24805437804836292,0.6790492006818198,0.004136317562543878,0.43382885726259746,0.4000457353580357,0.8273219521795189,759.79180670579,0.8691100711106994,0.6139221030363071,0.007584858633031249,0.8041430068810629,-15.434255587334125
2010.png,4.764960153574441,69.1443003216952,10.706084943606045,45.86598387217372,104.8796122457312,58.56224060058594,0.8063115352609331,1.975928444515235,0.021305640507843192,0.6490255367179645,2.086859373187831,1.4328484207312768,55.14637261722502,0.19881223114164226,0.6336976468915522,0.005354228218789131,0.4689109321477884,0.38076551191790425,0.8382745022743627,1157.947691760028,0.8983218636212043,0.7379942496413179,0.06444922484715518,0.8063115352609331,-17.856376963702964
