metric,modal,n,mean_base,mean_var,delta,cliffs_delta,effect,wilcoxon_stat,p_value,p_adj_holm,verdict
EN,CT,24,4.686877075280939,4.674392638190938,-0.012484437090000355,-0.03125,trivial,83.0,0.9736796021461487,1.0,NS
VAR,CT,24,80.77401313397034,74.99617599809244,-5.777837135877903,-0.6909722222222222,large,0.0,1.0,1.0,NS
AG,CT,24,8.75551132521167,8.628519738218023,-0.12699158699364688,-0.06944444444444445,trivial,46.0,0.999110221862793,1.0,NS
SF,CT,24,36.53763791816673,37.192054090736626,0.6544161725698956,0.13194444444444445,trivial,260.0,0.0004813075065612793,0.010588765144348145,SIG
EI,CT,24,88.05264499002838,86.50015136393513,-1.552493626093252,-0.09027777777777778,trivial,25.0,0.9999545812606812,1.0,NS
MI,CT,24,65.71606636047363,57.389227549235024,-8.32683881123861,-0.6423611111111112,large,0.0,1.0,1.0,NS
NCIE,CT,24,0.8071421894714405,0.8072567439169805,0.00011455444554009375,0.08680555555555555,trivial,222.0,0.019740819931030273,0.39481639862060547,MARGINAL
MI_mutual,CT,24,2.145133497916101,2.1744430718213628,0.029309573905261566,0.1423611111111111,trivial,233.0,0.008203327655792236,0.17226988077163696,MARGINAL
NABF,CT,24,0.01967106852151802,0.023232450828328755,0.003561382306810735,-0.4791666666666667,large,17.0,0.999989926815033,1.0,NS
FMI,CT,24,0.6711066846367005,0.6687720875382789,-0.0023345970984216535,-0.052083333333333336,trivial,42.0,0.9994536638259888,1.0,NS
CE,CT,24,1.5797834978330803,1.5961128009839218,0.01632930315084158,-0.006944444444444444,trivial,132.0,0.6983442902565002,1.0,NS
SSIM,CT,24,1.479867629409176,1.4726608066587723,-0.00720682275040363,-0.11458333333333333,trivial,10.0,0.9999980330467224,1.0,NS
PSNR,CT,24,55.2235183322878,55.35365495247961,0.13013662019180572,0.3020833333333333,small,300.0,5.960464477539063e-08,1.4901161193847656e-06,SIG
RMSE,CT,24,0.19591928632496247,0.19009341965885496,-0.005825866666107515,0.3020833333333333,small,300.0,5.960464477539063e-08,1.4901161193847656e-06,SIG
QG,CT,24,0.6140993717512807,0.6101858617131316,-0.003913510038149104,-0.09027777777777778,trivial,51.0,0.998428463935852,1.0,NS
QM,CT,24,0.008815204680993963,0.0042679799953475005,-0.004547224685646462,-0.8472222222222222,large,0.0,1.0,1.0,NS
QC,CT,24,0.4712873183084656,0.46759503302419486,-0.0036922852842707354,-0.059027777777777776,trivial,73.0,0.987568199634552,1.0,NS
QS,CT,24,0.40036988134478024,0.3919497030231655,-0.008420178321614735,-0.12152777777777778,trivial,20.0,0.999981701374054,1.0,NS
QCB,CT,24,0.7965370832820424,0.79520520813156,-0.0013318751504823867,0.003472222222222222,trivial,185.0,0.16525256633758545,1.0,NS
QCV,CT,24,578.4458737275548,644.0056497262482,65.55977599869334,-0.5277777777777778,large,0.0,1.0,1.0,NS
QY,CT,24,0.9258774229636902,0.9188458702415881,-0.007031552722102097,-0.24305555555555555,small,8.0,0.9999988675117493,1.0,NS
QMI,CT,24,0.7776971423783628,0.7900788202760949,0.012381677897732035,0.1388888888888889,trivial,272.0,8.7738037109375e-05,0.002017974853515625,SIG
QSF,CT,24,0.0513256177457865,0.03418842928002254,-0.01713718846576396,-0.6423611111111112,large,27.0,0.9999364614486694,1.0,NS
QNCIE,CT,24,0.8071421894714405,0.8072567439169805,0.00011455444554009375,0.08680555555555555,trivial,222.0,0.019740819931030273,0.39481639862060547,MARGINAL
