metric,modal,n,mean_base,mean_var,delta,cliffs_delta,effect,wilcoxon_stat,p_value,p_adj_holm,verdict
EN,CT,24,4.686877075280939,4.668155359661719,-0.018721715619220092,-0.041666666666666664,trivial,84.0,0.9717866778373718,1.0,NS
VAR,CT,24,80.77401313397034,75.11433327580168,-5.6596798581686585,-0.6944444444444444,large,0.0,1.0,1.0,NS
AG,CT,24,8.75551132521167,8.705180216395908,-0.05033110881576164,-0.04861111111111111,trivial,106.0,0.8961917161941528,1.0,NS
SF,CT,24,36.53763791816673,37.90859084475436,1.370952926587627,0.2152777777777778,small,295.0,5.960464477539062e-07,1.3709068298339844e-05,SIG
EI,CT,24,88.05264499002838,86.7894868025569,-1.2631581874714897,-0.08333333333333333,trivial,50.0,0.9985926747322083,1.0,NS
MI,CT,24,65.71606636047363,57.27832158406576,-8.437744776407875,-0.6493055555555556,large,0.0,1.0,1.0,NS
NCIE,CT,24,0.8071421894714405,0.807270897441254,0.00012870796981356847,0.09027777777777778,trivial,219.0,0.02453058958053589,0.4906117916107178,MARGINAL
MI_mutual,CT,24,2.145133497916101,2.1765361701891663,0.031402672273065146,0.1284722222222222,trivial,220.0,0.022839844226837158,0.4796367287635803,MARGINAL
NABF,CT,24,0.01967106852151802,0.02473218964876081,0.005061121127242791,-0.6597222222222222,large,0.0,1.0,1.0,NS
FMI,CT,24,0.6711066846367005,0.6664201726795062,-0.004686511957194384,-0.08680555555555555,trivial,8.0,0.9999988675117493,1.0,NS
CE,CT,24,1.5797834978330803,1.6039848560464953,0.02420135821341507,-0.027777777777777776,trivial,115.0,0.8417438268661499,1.0,NS
SSIM,CT,24,1.479867629409176,1.4682883130744766,-0.01157931633469933,-0.16666666666666666,small,0.0,1.0,1.0,NS
PSNR,CT,24,55.2235183322878,55.327101017672454,0.10358268538465154,0.2673611111111111,small,298.0,1.7881393432617188e-07,4.470348358154297e-06,SIG
RMSE,CT,24,0.19591928632496247,0.19120376417989024,-0.004715522145072232,0.2673611111111111,small,298.0,1.7881393432617188e-07,4.470348358154297e-06,SIG
QG,CT,24,0.6140993717512807,0.6009783679960815,-0.013121003755199201,-0.21875,small,10.0,0.9999980330467224,1.0,NS
QM,CT,24,0.008815204680993963,0.003977214898137946,-0.004837989782856017,-0.8611111111111112,large,0.0,1.0,1.0,NS
QC,CT,24,0.4712873183084656,0.46940273916964853,-0.0018845791388170663,-0.052083333333333336,trivial,90.0,0.9580399990081787,1.0,NS
QS,CT,24,0.40036988134478024,0.39265089464113395,-0.007718986703646291,-0.13194444444444445,trivial,60.0,0.9960397481918335,1.0,NS
QCB,CT,24,0.7965370832820424,0.7953516444419604,-0.0011854388400820426,0.0,trivial,163.0,0.36287039518356323,1.0,NS
QCV,CT,24,578.4458737275548,673.3146391174519,94.86876538989702,-0.6458333333333334,large,0.0,1.0,1.0,NS
QY,CT,24,0.9258774229636902,0.9178640281808536,-0.008013394782836691,-0.24305555555555555,small,5.0,0.9999995827674866,1.0,NS
QMI,CT,24,0.7776971423783628,0.7914033140954192,0.013706171717056348,0.16319444444444445,small,252.0,0.0012581944465637207,0.027680277824401855,SIG
QSF,CT,24,0.0513256177457865,0.0279846421146312,-0.023340975631155298,-0.7326388888888888,large,6.0,0.9999994039535522,1.0,NS
QNCIE,CT,24,0.8071421894714405,0.807270897441254,0.00012870796981356847,0.09027777777777778,trivial,219.0,0.02453058958053589,0.4906117916107178,MARGINAL
QTE,CT,24,-8.584074686429583,-8.477745958951408,0.10632872747817501,0.03125,trivial,167.0,0.32157111167907715,1.0,NS
EN,PET,24,5.615261369241909,5.723689054633025,0.10842768539111525,0.11458333333333333,trivial,300.0,5.960464477539063e-08,1.4901161193847656e-06,SIG
VAR,PET,24,89.53463114170533,77.14389989721549,-12.390731244489842,-1.0,large,0.0,1.0,1.0,NS
AG,PET,24,11.56211284780809,10.341701336319373,-1.2204115114887166,-0.4548611111111111,medium,0.0,1.0,1.0,NS
SF,PET,24,35.24338021187853,31.488457269666373,-3.7549229422121577,-0.5416666666666666,large,0.0,1.0,1.0,NS
EI,PET,24,118.03154645206921,104.27827946354603,-13.75326698852318,-0.5104166666666666,large,0.0,1.0,1.0,NS
MI,PET,24,81.30991554260254,70.81596120198567,-10.493954340616867,-0.5590277777777778,large,0.0,1.0,1.0,NS
NCIE,PET,24,0.8106392162497976,0.8090015096101041,-0.001637706639693537,-0.4618055555555556,medium,0.0,1.0,1.0,NS
MI_mutual,PET,24,2.5504397484101027,2.330732515252653,-0.2197072331574499,-0.5069444444444444,large,0.0,1.0,1.0,NS
NABF,PET,24,0.018121092486824236,0.011598053612370424,-0.0065230388744538115,0.8229166666666666,large,300.0,5.960464477539063e-08,1.4901161193847656e-06,SIG
FMI,PET,24,0.6262605273065454,0.6094038912782388,-0.01685663602830656,-0.2708333333333333,small,0.0,1.0,1.0,NS
CE,PET,24,1.1181770856784976,1.1034480984911699,-0.014728987187327736,0.0763888888888889,trivial,237.0,0.005758047103881836,0.11516094207763672,MARGINAL
SSIM,PET,24,1.4042626573134696,1.3894186456252802,-0.014844011688189385,-0.125,trivial,0.0,1.0,1.0,NS
PSNR,PET,24,55.248477548916924,55.7819610843135,0.5334835353965772,0.7430555555555556,large,300.0,5.960464477539063e-08,1.4901161193847656e-06,SIG
RMSE,PET,24,0.19469359170360143,0.17230895379839906,-0.02238463790520237,0.7430555555555556,large,300.0,5.960464477539063e-08,1.4901161193847656e-06,SIG
QG,PET,24,0.7343875651880878,0.7094022150056031,-0.02498535018248471,-0.3506944444444444,medium,0.0,1.0,1.0,NS
QM,PET,24,0.07398927312662873,0.009192480783288636,-0.0647967923433401,-1.0,large,0.0,1.0,1.0,NS
QC,PET,24,0.6632045369346049,0.6447804976204458,-0.018424039314159146,-0.2638888888888889,small,0.0,1.0,1.0,NS
QS,PET,24,0.6077985078352538,0.5922155693849823,-0.015582938450271477,-0.25,small,0.0,1.0,1.0,NS
QCB,PET,24,0.8962209609308361,0.896237190000246,1.6229069409900987e-05,0.0,trivial,133.0,0.6884528398513794,1.0,NS
