metric,modal,n,mean_base,mean_var,delta,cliffs_delta,effect,wilcoxon_stat,p_value,p_adj_holm,verdict
EN,CT,24,4.686877075280939,4.655412447869611,-0.03146462741132794,-0.07291666666666667,trivial,49.0,0.9987418055534363,1.0,NS
VAR,CT,24,80.77401313397034,74.84134415732348,-5.932668976646866,-0.7083333333333334,large,0.0,1.0,1.0,NS
AG,CT,24,8.75551132521167,8.805022712677967,0.04951138746629802,0.013888888888888888,trivial,183.0,0.17981314659118652,1.0,NS
SF,CT,24,36.53763791816673,38.23828739675535,1.7006494785886161,0.2604166666666667,small,299.0,1.1920928955078125e-07,2.7418136596679688e-06,SIG
EI,CT,24,88.05264499002838,87.8414490474385,-0.21119594258988172,-0.03125,trivial,118.0,0.8201868534088135,1.0,NS
MI,CT,24,65.71606636047363,57.67813301086426,-8.037933349609375,-0.6354166666666666,large,0.0,1.0,1.0,NS
NCIE,CT,24,0.8071421894714405,0.8073568226669687,0.00021463319552827986,0.14930555555555555,small,298.0,1.7881393432617188e-07,3.933906555175781e-06,SIG
MI_mutual,CT,24,2.145133497916101,2.1887808151585406,0.04364731724243942,0.21875,small,294.0,8.344650268554688e-07,1.6689300537109375e-05,SIG
NABF,CT,24,0.01967106852151802,0.0246983598141083,0.005027291292590282,-0.65625,large,1.0,0.9999999403953552,1.0,NS
FMI,CT,24,0.6711066846367005,0.6691388126868821,-0.0019678719498184005,-0.04861111111111111,trivial,63.0,0.9947460889816284,1.0,NS
CE,CT,24,1.5797834978330803,1.5816498643518633,0.0018663665187830247,0.017361111111111112,trivial,146.0,0.550214946269989,1.0,NS
SSIM,CT,24,1.479867629409176,1.4688084726957376,-0.011059156713438378,-0.16666666666666666,small,0.0,1.0,1.0,NS
PSNR,CT,24,55.2235183322878,55.380953762454055,0.1574354301662524,0.3506944444444444,medium,300.0,5.960464477539063e-08,1.4901161193847656e-06,SIG
RMSE,CT,24,0.19591928632496247,0.1888924311760889,-0.007026855148873579,0.3506944444444444,medium,300.0,5.960464477539063e-08,1.4901161193847656e-06,SIG
QG,CT,24,0.6140993717512807,0.6104647883331923,-0.0036345834180884218,-0.0625,trivial,77.0,0.9830074310302734,1.0,NS
QM,CT,24,0.008815204680993963,0.003964444166437362,-0.0048507605145566,-0.8819444444444444,large,0.0,1.0,1.0,NS
QC,CT,24,0.4712873183084656,0.46285117727014846,-0.008436141038317135,-0.1423611111111111,trivial,8.0,0.9999988675117493,1.0,NS
QS,CT,24,0.40036988134478024,0.3884614739632864,-0.011908407381493846,-0.18055555555555555,small,0.0,1.0,1.0,NS
QCB,CT,24,0.7965370832820424,0.7896657479144652,-0.006871335367577225,-0.04513888888888889,trivial,106.0,0.8961917161941528,1.0,NS
