metric,modal,n,mean_base,mean_var,delta,cliffs_delta,effect,wilcoxon_stat,p_value,p_adj_holm,verdict
EN,CT,24,4.686877075280939,4.642799701922123,-0.044077373358815564,-0.10069444444444445,trivial,35.0,0.9997850656509399,1.0,NS
VAR,CT,24,80.77401313397034,71.62980091075156,-9.144212223218787,-0.8680555555555556,large,0.0,1.0,1.0,NS
AG,CT,24,8.75551132521167,8.524667969981689,-0.23084335522998067,-0.12152777777777778,trivial,10.0,0.9999980330467224,1.0,NS
SF,CT,24,36.53763791816673,37.27717357527006,0.7395356571033318,0.12152777777777778,trivial,294.0,8.344650268554688e-07,1.919269561767578e-05,SIG
EI,CT,24,88.05264499002838,85.27431256358547,-2.7783324264429154,-0.15625,small,6.0,0.9999994039535522,1.0,NS
MI,CT,24,65.71606636047363,54.68635622660319,-11.029710133870445,-0.8159722222222222,large,0.0,1.0,1.0,NS
NCIE,CT,24,0.8071421894714405,0.8071976154038332,5.5425932392716426e-05,0.006944444444444444,trivial,196.0,0.09868919849395752,1.0,NS
MI_mutual,CT,24,2.145133497916101,2.156581555094217,0.0114480571781157,0.017361111111111112,trivial,185.0,0.16525256633758545,1.0,NS
NABF,CT,24,0.01967106852151802,0.02006039996830895,0.00038933144679093035,-0.006944444444444444,trivial,134.0,0.6784288883209229,1.0,NS
FMI,CT,24,0.6711066846367005,0.6709982688713813,-0.00010841576531928077,0.010416666666666666,trivial,137.0,0.647621750831604,1.0,NS
CE,CT,24,1.5797834978330803,1.5894335208549475,0.009650023021867238,-0.003472222222222222,trivial,138.0,0.6371296048164368,1.0,NS
SSIM,CT,24,1.479867629409176,1.4684936946322413,-0.011373934776934602,-0.1423611111111111,trivial,4.0,0.9999997019767761,1.0,NS
PSNR,CT,24,55.2235183322878,55.50225740337371,0.27873907108590856,0.5555555555555556,large,300.0,5.960464477539063e-08,1.4901161193847656e-06,SIG
RMSE,CT,24,0.19591928632496247,0.1836891663235253,-0.012230120001437167,0.5555555555555556,large,300.0,5.960464477539063e-08,1.4901161193847656e-06,SIG
QG,CT,24,0.6140993717512807,0.611715592169976,-0.002383779581304757,-0.04513888888888889,trivial,96.0,0.9395799040794373,1.0,NS
QM,CT,24,0.008815204680993963,0.00475795146000255,-0.004057253220991413,-0.7986111111111112,large,0.0,1.0,1.0,NS
QC,CT,24,0.4712873183084656,0.4618657453076873,-0.009421573000778283,-0.18055555555555555,small,34.0,0.9998136162757874,1.0,NS
QS,CT,24,0.40036988134478024,0.39390874339172194,-0.006461137953058305,-0.12152777777777778,trivial,58.0,0.9967419505119324,1.0,NS
QCB,CT,24,0.7965370832820424,0.8096933808974208,0.013156297615378398,0.13541666666666666,trivial,271.0,0.00010257959365844727,0.00225675106048584,SIG
QCV,CT,24,578.4458737275548,603.7567403138814,25.310866586326597,-0.3368055555555556,medium,15.0,0.9999934434890747,1.0,NS
QY,CT,24,0.9258774229636902,0.9092631666650561,-0.01661425629863411,-0.4479166666666667,medium,0.0,1.0,1.0,NS
QMI,CT,24,0.7776971423783628,0.7865692681120349,0.00887212573367202,0.08333333333333333,trivial,262.0,0.0003711581230163574,0.0074231624603271484,SIG
QSF,CT,24,0.0513256177457865,0.03329448826971567,-0.01803112947607083,-0.7534722222222222,large,10.0,0.9999980330467224,1.0,NS
QNCIE,CT,24,0.8071421894714405,0.8071976154038333,5.542593239282745e-05,0.006944444444444444,trivial,196.0,0.09868919849395752,1.0,NS
QTE,CT,24,-8.584074686429583,-8.308379661314294,0.2756950251152883,0.06597222222222222,trivial,269.0,0.00013905763626098633,0.002920210361480713,SIG
EN,PET,24,5.615261369241909,5.57193848280446,-0.043322886437449526,-0.0625,trivial,41.0,0.9995186924934387,1.0,NS
VAR,PET,24,89.53463114170533,73.22758211619112,-16.307049025514218,-1.0,large,0.0,1.0,1.0,NS
AG,PET,24,11.56211284780809,10.187176264547112,-1.3749365832609772,-0.5138888888888888,large,0.0,1.0,1.0,NS
SF,PET,24,35.24338021187853,31.60057488426222,-3.642805327616312,-0.53125,large,0.0,1.0,1.0,NS
EI,PET,24,118.03154645206921,103.71329549994444,-14.318250952124771,-0.5416666666666666,large,0.0,1.0,1.0,NS
MI,PET,24,81.30991554260254,64.15108299255371,-17.158832550048828,-0.8194444444444444,large,0.0,1.0,1.0,NS
NCIE,PET,24,0.8106392162497976,0.8107702578763784,0.00013104162658073015,0.0763888888888889,trivial,265.0,0.0002472400665283203,0.0051920413970947266,SIG
MI_mutual,PET,24,2.5504397484101027,2.545408190340893,-0.005031558069209741,-0.006944444444444444,trivial,123.0,0.7805347442626953,1.0,NS
NABF,PET,24,0.018121092486824236,0.012250965251687717,-0.005870127235136519,0.7951388888888888,large,300.0,5.960464477539063e-08,1.4901161193847656e-06,SIG
FMI,PET,24,0.6262605273065454,0.6258115514854206,-0.0004489758211247974,-0.034722222222222224,trivial,105.0,0.9013108015060425,1.0,NS
CE,PET,24,1.1181770856784976,1.1987644874170933,0.08058740173859569,-0.3090277777777778,small,3.0,0.9999998211860657,1.0,NS
SSIM,PET,24,1.4042626573134696,1.3815533224001435,-0.02270933491332605,-0.18055555555555555,small,0.0,1.0,1.0,NS
PSNR,PET,24,55.248477548916924,55.67932010623995,0.43084255732302523,0.6180555555555556,large,300.0,5.960464477539063e-08,1.4901161193847656e-06,SIG
RMSE,PET,24,0.19469359170360143,0.17650680035403446,-0.018186791349566966,0.6180555555555556,large,300.0,5.960464477539063e-08,1.4901161193847656e-06,SIG
QG,PET,24,0.7343875651880878,0.7238475560433318,-0.010540009144755946,-0.17708333333333334,small,3.0,0.9999998211860657,1.0,NS
QM,PET,24,0.07398927312662873,0.0066618770554971755,-0.06732739607113156,-1.0,large,0.0,1.0,1.0,NS
QC,PET,24,0.6632045369346049,0.6487804357537791,-0.014424101180825821,-0.2673611111111111,small,0.0,1.0,1.0,NS
QS,PET,24,0.6077985078352538,0.5826625340407786,-0.025135973794475186,-0.3368055555555556,medium,0.0,1.0,1.0,NS
QCB,PET,24,0.8962209609308361,0.8961937862420727,-2.7174688763453858e-05,0.003472222222222222,trivial,133.0,0.6884528398513794,1.0,NS
QCV,PET,24,53.13294119832568,83.99311572598197,30.860174527656284,-0.9166666666666666,large,0.0,1.0,1.0,NS
QY,PET,24,0.9564130991315073,0.9462792523145825,-0.010133846816924752,-0.4791666666666667,large,16.0,0.9999918341636658,1.0,NS
QMI,PET,24,0.7648744328763429,0.7654189716810024,0.0005445388046594335,0.017361111111111112,trivial,159.0,0.40576785802841187,1.0,NS
QSF,PET,24,0.032920165686165154,0.13236922173979682,0.09944905605363166,1.0,large,300.0,5.960464477539063e-08,1.4901161193847656e-06,SIG
QNCIE,PET,24,0.8106392162497976,0.8107702578763782,0.00013104162658061913,0.0763888888888889,trivial,265.0,0.0002472400665283203,0.0051920413970947266,SIG
QTE,PET,24,-5.291335585132882,-5.8486231474585635,-0.5572875623256817,-0.3819444444444444,medium,0.0,1.0,1.0,NS
EN,SPECT,24,5.004588447373647,4.906581156361934,-0.09800729101171246,-0.10416666666666667,trivial,1.0,0.9999999403953552,1.0,NS
VAR,SPECT,24,60.284758116291584,48.40844173696781,-11.876316379323775,-0.9270833333333334,large,0.0,1.0,1.0,NS
AG,SPECT,24,6.9577777427410155,5.67400648007203,-1.283771262668986,-0.5451388888888888,large,0.0,1.0,1.0,NS
SF,SPECT,24,22.283591337606264,18.248995776247707,-4.034595561358557,-0.6909722222222222,large,0.0,1.0,1.0,NS
EI,SPECT,24,70.35793384285253,57.16869229105282,-13.18924155179971,-0.5590277777777778,large,0.0,1.0,1.0,NS
MI,SPECT,24,46.760497411092125,37.94655799865723,-8.813939412434898,-0.6319444444444444,large,0.0,1.0,1.0,NS
NCIE,SPECT,24,0.8145233357874577,0.8139957911695698,-0.0005275446178879539,-0.11458333333333333,trivial,11.0,0.9999974370002747,1.0,NS
MI_mutual,SPECT,24,3.081451671964017,3.023673206195848,-0.05777846576816881,-0.13194444444444445,trivial,11.0,0.9999974370002747,1.0,NS
NABF,SPECT,24,0.03298507656551619,0.004901371824234305,-0.028083704741281888,0.9895833333333334,large,300.0,5.960464477539063e-08,1.4901161193847656e-06,SIG
FMI,SPECT,24,0.6525684337221476,0.6505908820535696,-0.001977551668577937,-0.052083333333333336,trivial,52.0,0.9982478618621826,1.0,NS
CE,SPECT,24,1.2001269029317518,1.1823569426575904,-0.017769960274161445,0.024305555555555556,trivial,196.0,0.09868919849395752,1.0,NS
SSIM,SPECT,24,1.4318334044787104,1.4251274869772323,-0.006705917501478087,-0.0625,trivial,6.0,0.9999994039535522,1.0,NS
PSNR,SPECT,24,58.19675474680622,58.059888044704415,-0.13686670210180552,-0.1076388888888889,trivial,49.0,0.9987418055534363,1.0,NS
RMSE,SPECT,24,0.09945422682989107,0.10266897224123345,0.003214745411342382,-0.1076388888888889,trivial,49.0,0.9987418055534363,1.0,NS
QG,SPECT,24,0.758469704445443,0.7428665740681172,-0.015603130377325858,-0.24305555555555555,small,1.0,0.9999999403953552,1.0,NS
QM,SPECT,24,0.16776686534250376,0.013073201640509013,-0.15469366370199475,-0.9930555555555556,large,1.0,0.9999999403953552,1.0,NS
QC,SPECT,24,0.6507299092464892,0.6326233237406699,-0.01810658550581934,-0.10069444444444445,trivial,0.0,1.0,1.0,NS
QS,SPECT,24,0.551933833949276,0.5397950096763132,-0.012138824272962756,-0.052083333333333336,trivial,15.0,0.9999934434890747,1.0,NS
QCB,SPECT,24,0.8802187917105826,0.8802276174931339,8.825782551347139e-06,-0.006944444444444444,trivial,137.0,0.647621750831604,1.0,NS
QCV,SPECT,24,33.54733910360178,46.79042116300631,13.243082059404529,-0.6666666666666666,large,5.0,0.9999995827674866,1.0,NS
QY,SPECT,24,0.9853823944533534,0.9623100782988093,-0.02307231615454408,-0.7951388888888888,large,0.0,1.0,1.0,NS
QMI,SPECT,24,1.0219510813028647,1.0143221814324885,-0.007628899870376182,-0.09027777777777778,trivial,66.0,0.9931103587150574,1.0,NS
QSF,SPECT,24,0.030636019557062633,0.2013612485584787,0.17072522900141607,0.9791666666666666,large,299.0,1.1920928955078125e-07,2.86102294921875e-06,SIG
