metric,modal,n,mean_base,mean_var,delta,cliffs_delta,effect,wilcoxon_stat,p_value,p_adj_holm,verdict
EN,CT,24,4.686877075280939,4.645055084805204,-0.04182199047573487,-0.09375,trivial,40.0,0.9995768666267395,1.0,NS
VAR,CT,24,80.77401313397034,71.84645320206171,-8.927559931908633,-0.8541666666666666,large,0.0,1.0,1.0,NS
AG,CT,24,8.75551132521167,8.537906292959333,-0.21760503225233663,-0.12152777777777778,trivial,10.0,0.9999980330467224,1.0,NS
SF,CT,24,36.53763791816673,37.357565073537614,0.819927155370884,0.1388888888888889,trivial,298.0,1.7881393432617188e-07,4.112720489501953e-06,SIG
EI,CT,24,88.05264499002838,85.41608250023393,-2.636562489794457,-0.14930555555555555,small,7.0,0.9999991655349731,1.0,NS
MI,CT,24,65.71606636047363,54.91473134358724,-10.80133501688639,-0.8020833333333334,large,0.0,1.0,1.0,NS
NCIE,CT,24,0.8071421894714405,0.8072307726288964,8.858315745596812e-05,0.034722222222222224,trivial,238.0,0.005253911018371582,0.09457039833068848,MARGINAL
MI_mutual,CT,24,2.145133497916101,2.1634164199252113,0.01828292200911008,0.0625,trivial,242.0,0.003594517707824707,0.06829583644866943,MARGINAL
NABF,CT,24,0.01967106852151802,0.0202530707425675,0.0005820022210494789,-0.04513888888888889,trivial,125.0,0.76341712474823,1.0,NS
FMI,CT,24,0.6711066846367005,0.6708395476596687,-0.00026713697703184547,0.006944444444444444,trivial,127.0,0.7456169724464417,1.0,NS
CE,CT,24,1.5797834978330803,1.5906503293395022,0.010866831506421981,0.003472222222222222,trivial,136.0,0.6580067873001099,1.0,NS
SSIM,CT,24,1.479867629409176,1.4684774871026438,-0.011390142306532125,-0.1423611111111111,trivial,4.0,0.9999997019767761,1.0,NS
PSNR,CT,24,55.2235183322878,55.49309983161402,0.26958149932621467,0.5243055555555556,large,300.0,5.960464477539063e-08,1.4901161193847656e-06,SIG
RMSE,CT,24,0.19591928632496247,0.18408183054145125,-0.011837455783511225,0.5243055555555556,large,300.0,5.960464477539063e-08,1.4901161193847656e-06,SIG
QG,CT,24,0.6140993717512807,0.6122334602676638,-0.0018659114836169222,-0.027777777777777776,trivial,110.0,0.8738753199577332,1.0,NS
QM,CT,24,0.008815204680993963,0.004898636757085679,-0.003916567923908283,-0.7708333333333334,large,0.0,1.0,1.0,NS
QC,CT,24,0.4712873183084656,0.4631998239123492,-0.00808749439611639,-0.1597222222222222,small,41.0,0.9995186924934387,1.0,NS
QS,CT,24,0.40036988134478024,0.39469515332707283,-0.005674728017707409,-0.11805555555555555,trivial,70.0,0.9902790188789368,1.0,NS
QCB,CT,24,0.7965370832820424,0.8103714726066132,0.013834389324570817,0.14930555555555555,small,291.0,1.9669532775878906e-06,4.3272972106933594e-05,SIG
QCV,CT,24,578.4458737275548,606.7045540864865,28.258680358931656,-0.3541666666666667,medium,9.0,0.9999985098838806,1.0,NS
QY,CT,24,0.9258774229636902,0.9098641875126104,-0.0160132354510798,-0.4305555555555556,medium,0.0,1.0,1.0,NS
QMI,CT,24,0.7776971423783628,0.7887158606864428,0.011018718308079989,0.1111111111111111,trivial,276.0,4.5418739318847656e-05,0.0009537935256958008,SIG
QSF,CT,24,0.0513256177457865,0.03128269245624513,-0.020042925289541366,-0.7847222222222222,large,6.0,0.9999994039535522,1.0,NS
QNCIE,CT,24,0.8071421894714405,0.8072307726288962,8.858315745574608e-05,0.034722222222222224,trivial,238.0,0.005253911018371582,0.09457039833068848,MARGINAL
QTE,CT,24,-8.584074686429583,-8.33198815182111,0.2520865346084733,0.05555555555555555,trivial,265.0,0.0002472400665283203,0.004944801330566406,SIG
EN,PET,24,5.615261369241909,5.57230192040295,-0.042959448838959524,-0.0625,trivial,45.0,0.9992101788520813,1.0,NS
VAR,PET,24,89.53463114170533,72.81878425746868,-16.715846884236655,-1.0,large,0.0,1.0,1.0,NS
AG,PET,24,11.56211284780809,10.153948266035933,-1.4081645817721569,-0.5173611111111112,large,0.0,1.0,1.0,NS
SF,PET,24,35.24338021187853,31.581845715302673,-3.6615344965758574,-0.5347222222222222,large,0.0,1.0,1.0,NS
EI,PET,24,118.03154645206921,103.35317393862215,-14.678372513447059,-0.5520833333333334,large,0.0,1.0,1.0,NS
MI,PET,24,81.30991554260254,63.83626174926758,-17.47365379333496,-0.8333333333333334,large,0.0,1.0,1.0,NS
NCIE,PET,24,0.8106392162497976,0.8109271659650542,0.00028794971525658575,0.125,trivial,298.0,1.7881393432617188e-07,3.7550926208496094e-06,SIG
MI_mutual,PET,24,2.5504397484101027,2.56110544606603,0.010665697655927175,0.03819444444444445,trivial,219.0,0.02453058958053589,0.441550612449646,MARGINAL
NABF,PET,24,0.018121092486824236,0.011557100251828503,-0.006563992234995732,0.8611111111111112,large,300.0,5.960464477539063e-08,1.4901161193847656e-06,SIG
FMI,PET,24,0.6262605273065454,0.6256515648137151,-0.0006089624928302673,-0.034722222222222224,trivial,106.0,0.8961917161941528,1.0,NS
CE,PET,24,1.1181770856784976,1.2150474742813568,0.09687038860285924,-0.375,medium,2.0,0.9999998807907104,1.0,NS
SSIM,PET,24,1.4042626573134696,1.3802938530182207,-0.023968804295248836,-0.1875,small,0.0,1.0,1.0,NS
PSNR,PET,24,55.248477548916924,55.652891945181096,0.40441439626417264,0.5972222222222222,large,300.0,5.960464477539063e-08,1.4901161193847656e-06,SIG
RMSE,PET,24,0.19469359170360143,0.17756699834598974,-0.017126593357611686,0.5972222222222222,large,300.0,5.960464477539063e-08,1.4901161193847656e-06,SIG
