metric,modal,n,mean_base,mean_var,delta,cliffs_delta,effect,wilcoxon_stat,p_value,p_adj_holm,verdict
EN,CT,24,4.686877075280939,4.647995287166873,-0.03888178811406551,-0.10069444444444445,trivial,48.0,0.9988771080970764,1.0,NS
VAR,CT,24,80.77401313397034,71.85523348274238,-8.918779651227965,-0.8576388888888888,large,0.0,1.0,1.0,NS
AG,CT,24,8.75551132521167,8.565956658186503,-0.18955466702516688,-0.10416666666666667,trivial,21.0,0.9999778866767883,1.0,NS
SF,CT,24,36.53763791816673,37.45680381983684,0.9191659016701124,0.1701388888888889,small,299.0,1.1920928955078125e-07,2.7418136596679688e-06,SIG
EI,CT,24,88.05264499002838,85.6549083469077,-2.3977366431206804,-0.1388888888888889,trivial,12.0,0.9999967217445374,1.0,NS
MI,CT,24,65.71606636047363,54.71173540751139,-11.004330952962242,-0.8263888888888888,large,0.0,1.0,1.0,NS
NCIE,CT,24,0.8071421894714405,0.8072526762843903,0.00011048681294989482,0.059027777777777776,trivial,248.0,0.0019503235816955566,0.037056148052215576,SIG
MI_mutual,CT,24,2.145133497916101,2.167082613768087,0.021949115851986,0.07291666666666667,trivial,248.0,0.0019503235816955566,0.037056148052215576,SIG
NABF,CT,24,0.01967106852151802,0.02062097893104072,0.0009499104095226987,-0.1284722222222222,trivial,106.0,0.8961917161941528,1.0,NS
FMI,CT,24,0.6711066846367005,0.6704602584493212,-0.000646426187379312,-0.020833333333333332,trivial,102.0,0.9155951738357544,1.0,NS
CE,CT,24,1.5797834978330803,1.597816538381047,0.018033040547966728,-0.027777777777777776,trivial,121.0,0.7969439625740051,1.0,NS
SSIM,CT,24,1.479867629409176,1.4672315808443386,-0.012636048564837354,-0.1701388888888889,small,2.0,0.9999998807907104,1.0,NS
PSNR,CT,24,55.2235183322878,55.48063579543939,0.25711746315158734,0.5034722222222222,large,300.0,5.960464477539063e-08,1.4901161193847656e-06,SIG
RMSE,CT,24,0.19591928632496247,0.18461197408549404,-0.011307312239468431,0.5034722222222222,large,300.0,5.960464477539063e-08,1.4901161193847656e-06,SIG
QG,CT,24,0.6140993717512807,0.6128291453556023,-0.0012702263956784199,-0.017361111111111112,trivial,121.0,0.7969439625740051,1.0,NS
QM,CT,24,0.008815204680993963,0.004761327659555971,-0.004053877021437992,-0.7986111111111112,large,0.0,1.0,1.0,NS
QC,CT,24,0.4712873183084656,0.46629142544131463,-0.004995892867150964,-0.125,trivial,87.0,0.9654491543769836,1.0,NS
QS,CT,24,0.40036988134478024,0.39711876271433216,-0.00325111863044808,-0.09027777777777778,trivial,110.0,0.8738753199577332,1.0,NS
