metric,modal,n,mean_base,mean_var,delta,cliffs_delta,effect,wilcoxon_stat,p_value,p_adj_holm,verdict
EN,CT,24,4.686877075280939,4.669887771693403,-0.016989303587536142,-0.059027777777777776,trivial,63.0,0.9947460889816284,1.0,NS
VAR,CT,24,80.77401313397034,73.11923904155746,-7.654774092412879,-0.8159722222222222,large,0.0,1.0,1.0,NS
AG,CT,24,8.75551132521167,8.554139826910196,-0.20137149830147294,-0.10416666666666667,trivial,33.0,0.9998388290405273,1.0,NS
SF,CT,24,36.53763791816673,36.921381697783865,0.38374377961713435,0.06944444444444445,trivial,215.0,0.03232467174530029,0.7434674501419067,MARGINAL
EI,CT,24,88.05264499002838,85.52269903126431,-2.529945958764074,-0.1284722222222222,trivial,7.0,0.9999991655349731,1.0,NS
MI,CT,24,65.71606636047363,55.55343691507975,-10.162629445393883,-0.7361111111111112,large,0.0,1.0,1.0,NS
NCIE,CT,24,0.8071421894714405,0.8071803288928286,3.8139421388194705e-05,0.041666666666666664,trivial,189.0,0.13840770721435547,1.0,NS
MI_mutual,CT,24,2.145133497916101,2.1585699458680154,0.013436447951914232,0.06944444444444445,trivial,197.0,0.09375065565109253,1.0,NS
NABF,CT,24,0.01967106852151802,0.0218770629581517,0.00220599443663368,-0.2777777777777778,small,93.0,0.9494518041610718,1.0,NS
FMI,CT,24,0.6711066846367005,0.6686903942952424,-0.0024162903414581827,-0.059027777777777776,trivial,46.0,0.999110221862793,1.0,NS
CE,CT,24,1.5797834978330803,1.6218423777653619,0.042058879932281634,-0.07291666666666667,trivial,101.0,0.9200073480606079,1.0,NS
SSIM,CT,24,1.479867629409176,1.4678906749036489,-0.011976954505527049,-0.1701388888888889,small,2.0,0.9999998807907104,1.0,NS
PSNR,CT,24,55.2235183322878,55.367710607098616,0.14419227481081265,0.3368055555555556,medium,300.0,5.960464477539063e-08,1.4901161193847656e-06,SIG
RMSE,CT,24,0.19591928632496247,0.18947259150805149,-0.006446694816910986,0.3368055555555556,medium,300.0,5.960464477539063e-08,1.4901161193847656e-06,SIG
