metric,modal,n,mean_base,mean_var,delta,cliffs_delta,effect,wilcoxon_stat,p_value,p_adj_holm,verdict
EN,CT,24,4.686877075280939,4.638179193313583,-0.048697881967355805,-0.13541666666666666,trivial,19.0,0.9999849200248718,1.0,NS
VAR,CT,24,80.77401313397034,70.50553488421379,-10.268478249756555,-0.9166666666666666,large,0.0,1.0,1.0,NS
AG,CT,24,8.75551132521167,9.616324628061891,0.8608133028502216,0.3784722222222222,medium,300.0,5.960464477539063e-08,1.4901161193847656e-06,SIG
SF,CT,24,36.53763791816673,40.31732801271776,3.779690094551029,0.5277777777777778,large,300.0,5.960464477539063e-08,1.4901161193847656e-06,SIG
EI,CT,24,88.05264499002838,96.01678004761503,7.964135057586645,0.3611111111111111,medium,300.0,5.960464477539063e-08,1.4901161193847656e-06,SIG
MI,CT,24,65.71606636047363,53.676019032796226,-12.040047327677406,-0.8715277777777778,large,0.0,1.0,1.0,NS
NCIE,CT,24,0.8071421894714405,0.8072961558767352,0.0001539664052947476,0.13541666666666666,trivial,222.0,0.019740819931030273,0.3553347587585449,MARGINAL
MI_mutual,CT,24,2.145133497916101,2.1541299738168544,0.008996475900753254,0.13194444444444445,trivial,169.0,0.30165570974349976,1.0,NS
NABF,CT,24,0.01967106852151802,0.0323153793694205,0.01264431084790248,-0.8402777777777778,large,0.0,1.0,1.0,NS
FMI,CT,24,0.6711066846367005,0.6732552032176401,0.0021485185809395624,0.059027777777777776,trivial,246.0,0.0024053454399108887,0.045701563358306885,SIG
CE,CT,24,1.5797834978330803,1.5406950603516376,-0.03908843748144264,0.10069444444444445,trivial,197.0,0.09375065565109253,1.0,NS
SSIM,CT,24,1.479867629409176,1.4434062128957887,-0.03646141651338719,-0.4270833333333333,medium,0.0,1.0,1.0,NS
PSNR,CT,24,55.2235183322878,55.322798634478886,0.09928030219108308,0.2534722222222222,small,294.0,8.344650268554688e-07,1.8358230590820312e-05,SIG
RMSE,CT,24,0.19591928632496247,0.19142774158143117,-0.004491544743531306,0.2534722222222222,small,291.0,1.9669532775878906e-06,4.13060188293457e-05,SIG
QG,CT,24,0.6140993717512807,0.6182603271079632,0.004160955356682483,0.09722222222222222,trivial,169.0,0.30165570974349976,1.0,NS
QM,CT,24,0.008815204680993963,0.004627594120963304,-0.004187610560030659,-0.7847222222222222,large,0.0,1.0,1.0,NS
QC,CT,24,0.4712873183084656,0.47729696395527627,0.0060096456468106685,0.0625,trivial,199.0,0.0844048261642456,1.0,NS
QS,CT,24,0.40036988134478024,0.3952547055629241,-0.005115175781856163,-0.11458333333333333,trivial,110.0,0.8738753199577332,1.0,NS
QCB,CT,24,0.7965370832820424,0.8113260505610107,0.014788967278968279,0.14583333333333334,trivial,283.0,1.233816146850586e-05,0.0002467632293701172,SIG
QCV,CT,24,578.4458737275548,758.8742454949969,180.42837176744206,-0.8055555555555556,large,0.0,1.0,1.0,NS
QY,CT,24,0.9258774229636902,0.9146761158251993,-0.01120130713849099,-0.2847222222222222,small,11.0,0.9999974370002747,1.0,NS
QMI,CT,24,0.7776971423783628,0.7829708628136118,0.005273720435248985,0.125,trivial,178.0,0.2194652557373047,1.0,NS
QSF,CT,24,0.0513256177457865,0.048792024291427434,-0.002533593454359065,0.052083333333333336,trivial,155.0,0.449785053730011,1.0,NS
QNCIE,CT,24,0.8071421894714405,0.8072961558767352,0.0001539664052947476,0.13541666666666666,trivial,222.0,0.019740819931030273,0.3553347587585449,MARGINAL
QTE,CT,24,-8.584074686429583,-8.54468653147251,0.039388154957073596,0.027777777777777776,trivial,172.0,0.27283477783203125,1.0,NS
EN,PET,24,5.615261369241909,5.5110763507938,-0.10418501844810901,-0.12152777777777778,trivial,0.0,1.0,1.0,NS
VAR,PET,24,89.53463114170533,77.51346692219121,-12.02116421951412,-0.9895833333333334,large,0.0,1.0,1.0,NS
AG,PET,24,11.56211284780809,11.27742048898664,-0.2846923588214487,-0.12152777777777778,trivial,0.0,1.0,1.0,NS
SF,PET,24,35.24338021187853,34.47140044686623,-0.7719797650123041,-0.16319444444444445,small,0.0,1.0,1.0,NS
EI,PET,24,118.03154645206921,114.69940988173774,-3.332136570331471,-0.16319444444444445,small,0.0,1.0,1.0,NS
MI,PET,24,81.30991554260254,68.33060010274251,-12.97931543986003,-0.6979166666666666,large,0.0,1.0,1.0,NS
NCIE,PET,24,0.8106392162497976,0.8117213723721894,0.0010821561223918197,0.3229166666666667,small,299.0,1.1920928955078125e-07,2.2649765014648438e-06,SIG
MI_mutual,PET,24,2.5504397484101027,2.653132647066471,0.10269289865636821,0.2534722222222222,small,281.0,1.8298625946044922e-05,0.00029277801513671875,SIG
NABF,PET,24,0.018121092486824236,0.015342937496613097,-0.0027781549902111385,0.4444444444444444,medium,298.0,1.7881393432617188e-07,3.039836883544922e-06,SIG
FMI,PET,24,0.6262605273065454,0.6372248144073854,0.010964287100840076,0.2048611111111111,small,300.0,5.960464477539063e-08,1.4901161193847656e-06,SIG
CE,PET,24,1.1181770856784976,1.1542648469858443,0.0360877613073467,-0.16319444444444445,small,38.0,0.9996750950813293,1.0,NS
SSIM,PET,24,1.4042626573134696,1.3234846388289265,-0.08077801848454302,-0.5069444444444444,large,0.0,1.0,1.0,NS
PSNR,PET,24,55.248477548916924,55.26151760993804,0.013040061021115434,0.03125,trivial,224.0,0.016992568969726562,0.23789596557617188,MARGINAL
RMSE,PET,24,0.19469359170360143,0.1941011723026108,-0.0005924194009906125,0.03125,trivial,226.0,0.014565646648406982,0.21848469972610474,MARGINAL
QG,PET,24,0.7343875651880878,0.7638182755455784,0.029430710357490564,0.4166666666666667,medium,300.0,5.960464477539063e-08,1.4901161193847656e-06,SIG
QM,PET,24,0.07398927312662873,0.12295579980032334,0.04896652667369461,0.8541666666666666,large,300.0,5.960464477539063e-08,1.4901161193847656e-06,SIG
QC,PET,24,0.6632045369346049,0.6576610706289047,-0.00554346630570024,-0.0798611111111111,trivial,84.0,0.9717866778373718,1.0,NS
QS,PET,24,0.6077985078352538,0.5459190898291711,-0.061879418006082654,-0.5347222222222222,large,1.0,0.9999999403953552,1.0,NS
QCB,PET,24,0.8962209609308361,0.8961937054143884,-2.725551644777724e-05,0.010416666666666666,trivial,147.0,0.5390955805778503,1.0,NS
QCV,PET,24,53.13294119832568,82.73074705564288,29.597805857317198,-0.7048611111111112,large,0.0,1.0,1.0,NS
QY,PET,24,0.9564130991315073,0.9817079745017168,0.02529487537020947,0.8923611111111112,large,300.0,5.960464477539063e-08,1.4901161193847656e-06,SIG
QMI,PET,24,0.7648744328763429,0.802025031608844,0.03715059873250104,0.5,large,300.0,5.960464477539063e-08,1.4901161193847656e-06,SIG
QSF,PET,24,0.032920165686165154,0.05460496534826605,0.0216847996621009,0.7118055555555556,large,300.0,5.960464477539063e-08,1.4901161193847656e-06,SIG
QNCIE,PET,24,0.8106392162497976,0.8117213723721894,0.0010821561223918197,0.3229166666666667,small,299.0,1.1920928955078125e-07,2.2649765014648438e-06,SIG
QTE,PET,24,-5.291335585132882,-5.603586710827403,-0.3122511256945213,-0.2465277777777778,small,0.0,1.0,1.0,NS
EN,SPECT,24,5.004588447373647,4.9694854325446345,-0.035103014829012125,-0.027777777777777776,trivial,84.0,0.9717866778373718,1.0,NS
VAR,SPECT,24,60.284758116291584,53.82356443673177,-6.461193679559813,-0.5555555555555556,large,0.0,1.0,1.0,NS
AG,SPECT,24,6.9577777427410155,6.791689436305517,-0.16608830643549854,-0.07291666666666667,trivial,46.0,0.999110221862793,1.0,NS
SF,SPECT,24,22.283591337606264,21.844904170789647,-0.43868716681661724,-0.12152777777777778,trivial,47.0,0.9989995360374451,1.0,NS
EI,SPECT,24,70.35793384285253,68.49782652275861,-1.8601073200939169,-0.11805555555555555,trivial,31.0,0.9998803734779358,1.0,NS
MI,SPECT,24,46.760497411092125,40.49820073445638,-6.262296676635742,-0.4375,medium,0.0,1.0,1.0,NS
NCIE,SPECT,24,0.8145233357874577,0.8107355911445469,-0.003787744642910873,-0.6666666666666666,large,3.0,0.9999998211860657,1.0,NS
MI_mutual,SPECT,24,3.081451671964017,2.7151318230995947,-0.36631984886442215,-0.65625,large,6.0,0.9999994039535522,1.0,NS
NABF,SPECT,24,0.03298507656551619,0.019417466380656282,-0.01356761018485991,0.7881944444444444,large,288.0,4.172325134277344e-06,0.0001043081283569336,SIG
FMI,SPECT,24,0.6525684337221476,0.6531592798096256,0.0005908460874780586,-0.034722222222222224,trivial,123.0,0.7805347442626953,1.0,NS
CE,SPECT,24,1.2001269029317518,1.0418732639675399,-0.15825363896421196,0.2638888888888889,small,261.0,0.00042313337326049805,0.010155200958251953,SIG
SSIM,SPECT,24,1.4318334044787104,1.4031348899114715,-0.02869851456723893,-0.17708333333333334,small,4.0,0.9999997019767761,1.0,NS
PSNR,SPECT,24,58.19675474680622,57.65374039749447,-0.5430143493117541,-0.4965277777777778,large,3.0,0.9999998211860657,1.0,NS
RMSE,SPECT,24,0.09945422682989107,0.11228330529804792,0.012829078468156854,-0.4965277777777778,large,2.0,0.9999998807907104,1.0,NS
QG,SPECT,24,0.758469704445443,0.7502741290343232,-0.008195575411119815,-0.1284722222222222,trivial,32.0,0.999860942363739,1.0,NS
QM,SPECT,24,0.16776686534250376,0.07880788309894088,-0.08895898224356288,-0.8298611111111112,large,5.0,0.9999995827674866,1.0,NS
QC,SPECT,24,0.6507299092464892,0.6404756745199341,-0.010254234726555067,-0.024305555555555556,trivial,74.0,0.9865361452102661,1.0,NS
QS,SPECT,24,0.551933833949276,0.5406132977441865,-0.011320536205089438,-0.04861111111111111,trivial,64.0,0.9942419528961182,1.0,NS
QCB,SPECT,24,0.8802187917105826,0.8802092870392958,-9.50467128679744e-06,0.0,trivial,139.0,0.626537024974823,1.0,NS
QCV,SPECT,24,33.54733910360178,38.9171997598634,5.369860656261622,-0.24305555555555555,small,1.0,0.9999999403953552,1.0,NS
QY,SPECT,24,0.9853823944533534,0.9810615559011584,-0.0043208385521950055,-0.4166666666666667,medium,52.0,0.9982478618621826,1.0,NS
QMI,SPECT,24,1.0219510813028647,0.9048738042033132,-0.11707727709955151,-0.7777777777777778,large,6.0,0.9999994039535522,1.0,NS
QSF,SPECT,24,0.030636019557062633,0.04599040332325768,0.015354383766195044,0.4131944444444444,medium,232.0,0.008935153484344482,0.2055085301399231,MARGINAL
QNCIE,SPECT,24,0.8145233357874577,0.8107355911445469,-0.003787744642910873,-0.6666666666666666,large,3.0,0.9999998211860657,1.0,NS
QTE,SPECT,24,-10.807423574080715,-11.171641557077132,-0.3642179829964167,-0.0625,trivial,74.0,0.9865361452102661,1.0,NS
EN,ALL,72,5.102242297298831,5.0395803255506735,-0.0626619717481578,-0.0470679012345679,trivial,282.0,0.999999996507143,1.0,NS
VAR,ALL,72,76.8644674639891,67.28085541437892,-9.583612049610181,-0.4367283950617284,medium,0.0,0.9999999999999171,1.0,NS
AG,ALL,72,9.091800638586925,9.22847818445135,0.1366775458644245,0.04861111111111111,trivial,1537.0,0.10539289437294219,1.0,NS
SF,ALL,72,31.35486982255051,32.211210876791206,0.8563410542406977,0.07021604938271606,trivial,1537.0,0.10539289437294219,1.0,NS
