metric,modal,n,mean_base,mean_var,delta,cliffs_delta,effect,wilcoxon_stat,p_value,p_adj_holm,verdict
EN,CT,24,4.686877075280939,4.641972346233467,-0.044904729047472,-0.12152777777777778,trivial,33.0,0.9998388290405273,1.0,NS
VAR,CT,24,80.77401313397034,67.89284453065733,-12.881168603313014,-0.96875,large,0.0,1.0,1.0,NS
AG,CT,24,8.75551132521167,9.473328043391986,0.7178167181803161,0.3229166666666667,small,300.0,5.960464477539063e-08,1.4901161193847656e-06,SIG
SF,CT,24,36.53763791816673,39.76523479297719,3.227596874810459,0.4826388888888889,large,300.0,5.960464477539063e-08,1.4901161193847656e-06,SIG
EI,CT,24,88.05264499002838,94.34483265665902,6.292187666630639,0.2986111111111111,small,300.0,5.960464477539063e-08,1.4901161193847656e-06,SIG
MI,CT,24,65.71606636047363,51.52567609151205,-14.190390268961586,-0.9375,large,0.0,1.0,1.0,NS
NCIE,CT,24,0.8071421894714405,0.8076038627606216,0.0004616732891811193,0.2986111111111111,small,277.0,3.814697265625e-05,0.00072479248046875,SIG
MI_mutual,CT,24,2.145133497916101,2.2054026170921674,0.060269119176066255,0.2743055555555556,small,247.0,0.00216752290725708,0.03468036651611328,SIG
NABF,CT,24,0.01967106852151802,0.029629516893506982,0.009958448371988962,-0.8090277777777778,large,0.0,1.0,1.0,NS
FMI,CT,24,0.6711066846367005,0.6820164203983324,0.0109097357616319,0.2326388888888889,small,300.0,5.960464477539063e-08,1.4901161193847656e-06,SIG
CE,CT,24,1.5797834978330803,1.5665315912624436,-0.013251906570636685,0.034722222222222224,trivial,169.0,0.30165570974349976,1.0,NS
SSIM,CT,24,1.479867629409176,1.4416865545439486,-0.03818107486522737,-0.4375,medium,0.0,1.0,1.0,NS
PSNR,CT,24,55.2235183322878,55.37264543935694,0.149127107069134,0.3506944444444444,medium,298.0,1.7881393432617188e-07,3.7550926208496094e-06,SIG
RMSE,CT,24,0.19591928632496247,0.18926402626580752,-0.006655260059154955,0.3506944444444444,medium,298.0,1.7881393432617188e-07,3.7550926208496094e-06,SIG
QG,CT,24,0.6140993717512807,0.6196323002324838,0.005532928481203125,0.14583333333333334,trivial,186.0,0.1582561731338501,1.0,NS
QM,CT,24,0.008815204680993963,0.005012169092455772,-0.003803035588538191,-0.7048611111111112,large,0.0,1.0,1.0,NS
QC,CT,24,0.4712873183084656,0.4626533872475352,-0.008633931060930411,-0.15625,small,56.0,0.9973347783088684,1.0,NS
QS,CT,24,0.40036988134478024,0.3776611450874359,-0.02270873625734432,-0.3055555555555556,small,1.0,0.9999999403953552,1.0,NS
QCB,CT,24,0.7965370832820424,0.7844200720927947,-0.012117011189247684,-0.12152777777777778,trivial,32.0,0.999860942363739,1.0,NS
QCV,CT,24,578.4458737275548,751.9198960148045,173.47402228724968,-0.8194444444444444,large,0.0,1.0,1.0,NS
QY,CT,24,0.9258774229636902,0.9142582284081756,-0.011619194555514634,-0.2951388888888889,small,30.0,0.9998974204063416,1.0,NS
QMI,CT,24,0.7776971423783628,0.799415639063145,0.021718496684782096,0.2743055555555556,small,249.0,0.0017521381378173828,0.029786348342895508,SIG
QSF,CT,24,0.0513256177457865,0.037742115898256115,-0.013583501847530384,-0.4930555555555556,large,62.0,0.9952121376991272,1.0,NS
QNCIE,CT,24,0.8071421894714405,0.8076038627606215,0.00046167328918100825,0.2986111111111111,small,277.0,3.814697265625e-05,0.00072479248046875,SIG
QTE,CT,24,-8.584074686429583,-8.478170847366878,0.10590383906270517,0.059027777777777776,trivial,195.0,0.10380828380584717,1.0,NS
EN,PET,24,5.615261369241909,5.485453264955349,-0.12980810428656042,-0.13194444444444445,trivial,0.0,1.0,1.0,NS
VAR,PET,24,89.53463114170533,76.71133322180678,-12.82329791989855,-0.9965277777777778,large,0.0,1.0,1.0,NS
AG,PET,24,11.56211284780809,11.221854210205407,-0.34025863760268216,-0.14930555555555555,small,0.0,1.0,1.0,NS
SF,PET,24,35.24338021187853,34.445676564613414,-0.7977036472651164,-0.16319444444444445,small,0.0,1.0,1.0,NS
EI,PET,24,118.03154645206921,114.09823186269345,-3.9333145893757546,-0.1840277777777778,small,0.0,1.0,1.0,NS
MI,PET,24,81.30991554260254,67.35919253031413,-13.950723012288407,-0.75,large,0.0,1.0,1.0,NS
NCIE,PET,24,0.8106392162497976,0.8113789893826833,0.0007397731328856461,0.2361111111111111,small,284.0,1.0073184967041016e-05,0.00018131732940673828,SIG
MI_mutual,PET,24,2.5504397484101027,2.617505800912484,0.06706605250238118,0.1736111111111111,small,257.0,0.0006998777389526367,0.011198043823242188,SIG
NABF,PET,24,0.018121092486824236,0.014293671718209172,-0.0038274207686150637,0.5763888888888888,large,300.0,5.960464477539063e-08,1.4901161193847656e-06,SIG
FMI,PET,24,0.6262605273065454,0.635844760016156,0.009584232709610618,0.18055555555555555,small,297.0,2.980232238769531e-07,5.9604644775390625e-06,SIG
CE,PET,24,1.1181770856784976,1.1896465189540626,0.07146943327556499,-0.2743055555555556,small,8.0,0.9999988675117493,1.0,NS
SSIM,PET,24,1.4042626573134696,1.318787345783327,-0.08547531153014254,-0.53125,large,0.0,1.0,1.0,NS
PSNR,PET,24,55.248477548916924,55.189505173315354,-0.05897237560157009,-0.13541666666666666,trivial,0.0,1.0,1.0,NS
RMSE,PET,24,0.19469359170360143,0.1973207404621946,0.002627148758593184,-0.13541666666666666,trivial,0.0,1.0,1.0,NS
QG,PET,24,0.7343875651880878,0.7608259406276874,0.026438375439599593,0.375,medium,300.0,5.960464477539063e-08,1.4901161193847656e-06,SIG
QM,PET,24,0.07398927312662873,0.11146974010138884,0.03748046697476011,0.7395833333333334,large,300.0,5.960464477539063e-08,1.4901161193847656e-06,SIG
QC,PET,24,0.6632045369346049,0.6514095664352285,-0.01179497049937639,-0.18055555555555555,small,36.0,0.9997527599334717,1.0,NS
QS,PET,24,0.6077985078352538,0.5417396830582025,-0.06605882477705127,-0.5659722222222222,large,1.0,0.9999999403953552,1.0,NS
QCB,PET,24,0.8962209609308361,0.8961684607844186,-5.2500146417555626e-05,0.0,trivial,101.0,0.9200073480606079,1.0,NS
QCV,PET,24,53.13294119832568,83.79904556313956,30.666104364813876,-0.7256944444444444,large,0.0,1.0,1.0,NS
QY,PET,24,0.9564130991315073,0.9794124017408325,0.022999302609325256,0.8541666666666666,large,300.0,5.960464477539063e-08,1.4901161193847656e-06,SIG
QMI,PET,24,0.7648744328763429,0.7942457502072698,0.029371317330926905,0.40625,medium,285.0,8.165836334228516e-06,0.0001551508903503418,SIG
QSF,PET,24,0.032920165686165154,0.05571537899808556,0.022795213311920408,0.7222222222222222,large,300.0,5.960464477539063e-08,1.4901161193847656e-06,SIG
QNCIE,PET,24,0.8106392162497976,0.8113789893826833,0.0007397731328856461,0.2361111111111111,small,284.0,1.0073184967041016e-05,0.00018131732940673828,SIG
QTE,PET,24,-5.291335585132882,-5.68841651405135,-0.39708092891846825,-0.2951388888888889,small,0.0,1.0,1.0,NS
EN,SPECT,24,5.004588447373647,4.959426233239175,-0.04516221413447141,-0.03125,trivial,74.0,0.9865361452102661,1.0,NS
VAR,SPECT,24,60.284758116291584,53.852736936005876,-6.432021180285709,-0.5590277777777778,large,0.0,1.0,1.0,NS
AG,SPECT,24,6.9577777427410155,6.8048156834723805,-0.15296205926863493,-0.0625,trivial,48.0,0.9988771080970764,1.0,NS
SF,SPECT,24,22.283591337606264,21.90381126248779,-0.3797800751184752,-0.1076388888888889,trivial,52.0,0.9982478618621826,1.0,NS
EI,SPECT,24,70.35793384285253,68.62378111839399,-1.7341527244585393,-0.11805555555555555,trivial,40.0,0.9995768666267395,1.0,NS
MI,SPECT,24,46.760497411092125,40.49198786417643,-6.268509546915695,-0.4340277777777778,medium,0.0,1.0,1.0,NS
NCIE,SPECT,24,0.8145233357874577,0.8108051552395601,-0.0037181805478976315,-0.6527777777777778,large,4.0,0.9999997019767761,1.0,NS
MI_mutual,SPECT,24,3.081451671964017,2.7273689330063036,-0.35408273895771325,-0.6423611111111112,large,8.0,0.9999988675117493,1.0,NS
NABF,SPECT,24,0.03298507656551619,0.019819739545012656,-0.013165337020503536,0.7673611111111112,large,286.0,6.556510925292969e-06,0.00016391277313232422,SIG
FMI,SPECT,24,0.6525684337221476,0.6540876637160538,0.0015192299939061904,-0.013888888888888888,trivial,136.0,0.6580067873001099,1.0,NS
CE,SPECT,24,1.2001269029317518,1.0405660945249893,-0.15956080840676257,0.2569444444444444,small,253.0,0.001122891902923584,0.026949405670166016,SIG
