metric,modal,n,mean_base,mean_var,delta,cliffs_delta,effect,wilcoxon_stat,p_value,p_adj_holm,verdict
EN,CT,24,4.686877075280939,4.629806701928557,-0.05707037335238141,-0.14930555555555555,small,21.0,0.9999778866767883,1.0,NS
VAR,CT,24,80.77401313397034,66.99464853672102,-13.779364597249327,-0.9444444444444444,large,0.0,1.0,1.0,NS
AG,CT,24,8.75551132521167,9.269840079869802,0.5143287546581323,0.22569444444444445,small,300.0,5.960464477539063e-08,1.4901161193847656e-06,SIG
SF,CT,24,36.53763791816673,39.25831192844344,2.72067401027671,0.3854166666666667,medium,300.0,5.960464477539063e-08,1.4901161193847656e-06,SIG
EI,CT,24,88.05264499002838,92.21845284898662,4.165807858958232,0.21875,small,300.0,5.960464477539063e-08,1.4901161193847656e-06,SIG
MI,CT,24,65.71606636047363,51.048306147257485,-14.667760213216148,-0.9375,large,0.0,1.0,1.0,NS
NCIE,CT,24,0.8071421894714405,0.807739022117782,0.000596832646341583,0.3541666666666667,medium,267.0,0.00018638372421264648,0.0033549070358276367,SIG
MI_mutual,CT,24,2.145133497916101,2.2206581936047116,0.07552469568861042,0.3159722222222222,small,236.0,0.0063024163246154785,0.09453624486923218,MARGINAL
NABF,CT,24,0.01967106852151802,0.027757722157404935,0.008086653635886915,-0.7395833333333334,large,0.0,1.0,1.0,NS
FMI,CT,24,0.6711066846367005,0.6829896241323846,0.011882939495684086,0.2465277777777778,small,300.0,5.960464477539063e-08,1.4901161193847656e-06,SIG
CE,CT,24,1.5797834978330803,1.5471818539309812,-0.032601643902099076,0.04861111111111111,trivial,187.0,0.15144962072372437,1.0,NS
SSIM,CT,24,1.479867629409176,1.4413635038281043,-0.038504125581071635,-0.4305555555555556,medium,1.0,0.9999999403953552,1.0,NS
PSNR,CT,24,55.2235183322878,55.40002576218259,0.17650742989478374,0.3993055555555556,medium,300.0,5.960464477539063e-08,1.4901161193847656e-06,SIG
RMSE,CT,24,0.19591928632496247,0.18804935004554454,-0.007869936279417927,0.3993055555555556,medium,300.0,5.960464477539063e-08,1.4901161193847656e-06,SIG
QG,CT,24,0.6140993717512807,0.6129514150813616,-0.0011479566699190702,0.017361111111111112,trivial,137.0,0.647621750831604,1.0,NS
QM,CT,24,0.008815204680993963,0.005702631453897346,-0.003112573227096617,-0.53125,large,1.0,0.9999999403953552,1.0,NS
QC,CT,24,0.4712873183084656,0.47825114672005437,0.006963828411588768,0.04861111111111111,trivial,196.0,0.09868919849395752,1.0,NS
QS,CT,24,0.40036988134478024,0.39365467944090066,-0.006715201903879586,-0.1388888888888889,trivial,97.0,0.9359864592552185,1.0,NS
QCB,CT,24,0.7965370832820424,0.813531754364794,0.016994671082751545,0.1736111111111111,small,298.0,1.7881393432617188e-07,3.3974647521972656e-06,SIG
QCV,CT,24,578.4458737275548,762.276132077934,183.83025835037915,-0.8298611111111112,large,0.0,1.0,1.0,NS
QY,CT,24,0.9258774229636902,0.9106309205600729,-0.015246502403617357,-0.3576388888888889,medium,7.0,0.9999991655349731,1.0,NS
QMI,CT,24,0.7776971423783628,0.8055887859589467,0.027891643580583825,0.2673611111111111,small,241.0,0.003960251808166504,0.06336402893066406,MARGINAL
QSF,CT,24,0.0513256177457865,0.021828354178492992,-0.029497263567293507,-0.90625,large,4.0,0.9999997019767761,1.0,NS
QNCIE,CT,24,0.8071421894714405,0.807739022117782,0.000596832646341583,0.3541666666666667,medium,267.0,0.00018638372421264648,0.0033549070358276367,SIG
QTE,CT,24,-8.584074686429583,-8.42189481567105,0.16217987075853202,0.09375,trivial,204.0,0.0640135407447815,0.8961895704269409,NS
EN,PET,24,5.615261369241909,5.4609842071236505,-0.15427716211825881,-0.1527777777777778,small,0.0,1.0,1.0,NS
VAR,PET,24,89.53463114170533,76.32925728806536,-13.20537385363997,-0.9965277777777778,large,0.0,1.0,1.0,NS
AG,PET,24,11.56211284780809,11.173989848891786,-0.38812299891630353,-0.16319444444444445,small,0.0,1.0,1.0,NS
SF,PET,24,35.24338021187853,34.34600600129878,-0.8973742105797484,-0.17708333333333334,small,0.0,1.0,1.0,NS
EI,PET,24,118.03154645206921,113.7393282914414,-4.292218160627812,-0.2048611111111111,small,0.0,1.0,1.0,NS
MI,PET,24,81.30991554260254,66.90130043029785,-14.408615112304688,-0.7604166666666666,large,0.0,1.0,1.0,NS
