model,modal,n_images,timestamp,EN,MI,VAR,AG,SF,EI,NCIE,MI_mutual,NABF,FMI,CE,SSIM,PSNR,RMSE,QG,QM,QC,QS,QCB,QCV,QY,QMI,QSF,QNCIE,QTE
AWFusion,PET,24,20260423_232150,7.090497842801072,88.7819709777832,83.76717265875033,10.5829510883016,31.856017356943283,108.44993401764252,0.8053681145689838,1.7073439913569637,0.010306094660605171,0.23193331229205902,3.350640898506714,1.0378588472426153,55.27875311077747,0.19304555741297783,0.6435512235196609,0.006601879578988408,0.5531283826176856,0.542143917446444,0.8866259209120585,89.36296372763728,0.8607091436031471,0.44936165087891355,0.11442129688685258,0.8053681145689838,-6.442043642310417
AWFusion,CT,24,20260423_233008,6.7476375763406615,75.45339775085449,79.04576761745882,7.732576859992278,27.16661948193233,78.93302707075755,0.8059052429448914,1.8408752000667807,0.017375704676833678,0.17133688099676667,6.342991515591937,0.7317712880432694,55.08448104982157,0.2022947407797265,0.4625849921333765,0.0015134353800222236,0.4000786609958214,0.34257915637319764,0.8137441401118491,526.1235994578323,0.49901986263696285,0.5311420679130455,0.2818719443165344,0.8059052429448913,-7.848557140690399
AWFusion,SPECT,24,20260423_233219,6.405000918703867,63.27824719746908,61.31861066468338,6.707633295484745,20.743645375313523,67.04406071769453,0.8062325538257514,1.950644362714091,0.022765665630625254,0.22679890331984717,1.6198763610338522,1.0932025317608802,57.02553650852224,0.1293904851364577,0.626018094370017,0.011294469571260875,0.5159813216103912,0.512255307465435,0.8703287710477525,54.780969720151376,0.9061228391724443,0.5592830668735815,0.08604190727389831,0.8062325538257514,-11.896012630799666
AdaFuse,PET,24,20260424_100031,5.863574058863624,,73.6538194655338,7.0099591345663415,20.881458300042,72.38214727376898,0.8111560348994429,2.795999897364919,4.867181182176113e-05,0.38315551845199575,3.3246641706370723,1.2350040518711192,55.88844642266533,0.16818761308552346,0.5505452631337903,0.00243553200604882,0.52303014316475,0.49684928496073466,0.8961882251315023,207.32600028691581,0.7765413022694361,0.8273212216775749,0.42377731070363023,0.8111560348994429,-5.40343708489045
AdaFuse,SPECT,24,20260424_100150,5.591660127429102,,61.06424302321353,4.92400271577335,15.263628135200099,50.103784976389825,0.8085810289123682,2.460117421462759,0.002147805206798612,0.27798298164646723,5.7300936475005,1.1217525279289513,57.412903349427346,0.11945473554044546,0.5802565731984163,0.005292857414771483,0.5050314080007072,0.47964686192614825,0.8798958384712191,81.38784790872832,0.7101436898914582,0.7662558937215794,0.32656535279543397,0.8085810289123682,-5.414831525626738
AdaFuse,CT,24,20260424_100309,5.05915548628472,,59.989969298779954,4.876558143035394,19.17827478394609,49.76546041622993,0.8079466666310617,2.3268850878723346,5.092057842893298e-06,0.21421229759972352,9.412312398838738,0.8304294612963717,56.087671654240786,0.16073278643780733,0.35337783418458485,0.0019080491348920509,0.36074518083897433,0.32901928001704334,0.8135222877351742,578.4881800770396,0.4939527613691679,0.804441387799681,0.49888474383799714,0.8079466666310617,-9.095249424982484
BSAFusion,CT,24,20260423_233333,4.648327831673803,67.39455223083496,82.16736787327729,7.5416489075016395,28.82190424224973,77.58918369949028,0.8073092120510199,2.1708330583746993,0.021327874658790155,0.6704851898625003,1.2142997741375174,1.4481859569033606,54.977886301203235,0.207502166603911,0.5357472703241163,0.0071401431043436455,0.4500176433666945,0.3616998980635291,0.7330913252503682,963.0150019797792,0.9234543355940191,0.7883132587751985,0.23544458686375222,0.8073092120510199,-8.824140214756582
BSAFusion,PET,24,20260423_233512,6.034526679463824,86.26987648010254,82.7160501473859,11.29881000609745,34.4444603571303,115.37603840930232,0.8102588835367083,2.4852860539610693,0.011683049284592044,0.41605398746352346,1.265793084760902,1.0791861650807706,55.56658396641885,0.18089084109881073,0.7627271976277633,0.16229820556430805,0.6105007848848062,0.13439664683297536,0.879459131912456,45.92561905802639,0.9520239908488074,0.7132333005287004,0.047768763047334906,0.8102588835367083,-5.614981375649928
BSAFusion,SPECT,24,20260423_233644,5.502729484955925,54.93360964457194,55.516227186019506,6.909915348193408,22.02529389861445,69.68993445631777,0.8101959198181358,2.546085022054866,0.02474045874378854,0.37005659969446997,2.3376315833916306,1.0973923340667076,57.90828661161736,0.10588147173061702,0.7649637122530549,0.17415595543625875,0.5805897071303355,0.4732584929590689,0.8665118866297578,27.61236614389468,0.9642566287031987,0.8003049981190923,0.03008930977142037,0.8101959198181358,-11.170551030417764
C2RF,PET,24,20260423_233927,3.3381726573229193,44.75329144795736,73.9866020140686,3.536865116139698,13.781256128473984,36.935106354533865,0.8044108513986297,1.4521700210730695,0.012280890511869586,0.631016815907156,0.8453611922015621,1.309363459063089,55.11295296368587,0.20092545041604556,0.17819047964040194,0.001375255880785925,0.21659188747998018,0.16983440038989084,0.5951677678933142,939.3721418589694,0.8829135605658814,0.6346707648199763,0.6165944114294598,0.8044108513986297,-5.042974084462364
