model,modalities,n_modalities,total_images,EN,MI,VAR,AG,SF,EI,NCIE,MI_mutual,NABF,FMI,CE,SSIM,PSNR,RMSE,QG,QM,QC,QS,QCB,QCV,QY,QMI,QSF,QNCIE,QTE
AWFusion,"CT,PET,SPECT",3,72,6.7477,75.8379,74.7105,8.3411,26.5888,84.809,0.8058,1.833,0.0168,0.21,3.7712,0.9543,55.7963,0.1749,0.5774,0.0065,0.4897,0.4657,0.8569,223.4225,0.7553,0.5133,0.1608,0.8058,-8.7289
AdaFuse,"CT,PET,SPECT",3,72,5.5048,,64.9027,5.6035,18.4411,57.4171,0.8092,2.5277,0.0007,0.2918,6.1557,1.0624,56.463,0.1495,0.4947,0.0032,0.4629,0.4352,0.8632,289.0673,0.6602,0.7993,0.4164,0.8092,-6.6378
BSAFusion,"CT,PET,SPECT",3,72,5.3952,69.5327,73.4665,8.5835,28.4306,87.5517,0.8093,2.4007,0.0193,0.4855,1.6059,1.2083,56.1509,0.1648,0.6878,0.1145,0.547,0.3231,0.8264,345.5177,0.9466,0.7673,0.1044,0.8093,-8.5366
C2RF,PET,1,24,3.3382,44.7533,73.9866,3.5369,13.7813,36.9351,0.8044,1.4522,0.0123,0.631,0.8454,1.3094,55.113,0.2009,0.1782,0.0014,0.2166,0.1698,0.5952,939.3721,0.8829,0.6347,0.6166,0.8044,-5.043
CDDFuse,"CT,PET,SPECT",3,72,5.1022,64.5955,76.8645,9.0918,31.3549,92.1474,0.8108,2.5923,0.0236,0.65,1.2994,1.4387,56.2229,0.1634,0.7023,0.0835,0.5951,0.52,0.8577,221.7087,0.9559,0.8548,0.0383,0.8108,-8.2276
CM-CSAMFNet,"PET,SPECT",2,48,5.3197,73.72,84.6686,8.9823,27.3763,92.3479,0.8093,2.4209,0.0236,0.6452,1.09,1.4021,55.445,0.1873,0.7291,0.0445,0.6396,0.3726,0.8879,54.7181,0.9619,0.7636,0.0719,0.8093,-8.4264
CMMDL,"CT,PET,SPECT",3,72,5.5553,73.0463,82.066,9.6706,32.5429,97.1325,0.8082,2.2416,0.0262,0.2369,4.7892,1.1473,55.4111,0.1901,0.6995,0.0205,0.5312,0.4662,0.8615,251.4666,0.7931,0.7014,0.0365,0.8082,-8.5015
DDBFusion,"CT,PET,SPECT",3,72,4.9348,51.1533,64.4847,6.0785,22.7633,61.3527,0.8065,2.0181,0.0072,0.6128,1.1503,1.3963,56.6673,0.1452,0.4063,0.0024,0.4139,0.3862,0.8595,320.0868,0.8177,0.6895,0.3053,0.8065,-7.6516
ECINFusion,"CT,PET",2,48,5.171,61.7769,57.782,6.4432,21.9778,65.3967,0.8118,2.6379,0.0,0.2518,3.079,0.9413,55.7394,0.1746,0.5269,0.0037,0.4547,0.3855,0.8477,362.2533,0.635,0.8521,0.4093,0.8118,-6.4236
GeSeNet,"CT,PET,SPECT",3,72,5.5771,67.607,76.7584,9.0601,30.85,91.9563,0.8075,2.1629,0.0194,0.2347,5.3605,1.0121,55.9679,0.1704,0.6974,0.02,0.5445,0.4835,0.8589,234.5343,0.7233,0.6814,0.0463,0.8075,-8.4317
