model,composite_z,SSIM,PSNR,RMSE,QG,QM,QCB,QY,QC,QS,EN,MI_mutual,FMI,NCIE,QMI,QNCIE,AG,SF,EI,VAR,NABF,CE
MM-Net-Fusion,1.0285,1.0319,1.8157,1.7462,0.8701,0.2316,0.6283,1.2516,1.3588,1.1861,-0.0789,1.9851,1.1901,2.1653,2.4846,2.1653,0.2706,-0.0503,0.2418,-0.801,1.1892,0.7164
CDDFuse,0.9256,1.0611,0.6502,0.4971,0.876,1.9322,0.5032,1.0759,1.0251,1.1528,0.1048,1.3217,1.0745,1.5004,1.54,1.5004,0.9458,1.0007,0.9562,0.6595,-0.5393,0.5995
MFS-Fusion,0.6875,1.0969,0.1094,0.011,0.8834,1.6907,0.5403,1.051,0.962,1.2103,0.067,0.4442,1.0502,0.3605,0.4566,0.3605,0.8159,0.7885,0.8559,0.9608,-0.0097,0.7327
CM-CSAMFNet,0.5908,0.9186,-0.9542,-0.8537,1.0179,0.6592,0.9182,1.1141,1.3761,-0.0772,0.3965,0.8304,1.0486,0.788,0.5277,0.788,0.888,0.3494,0.9668,1.5494,-0.5393,0.6947
BSAFusion,0.5759,0.1642,0.5017,0.418,0.7992,2.9441,0.073,1.0166,0.6457,-0.4902,0.4978,0.7725,0.1858,0.788,0.5687,0.788,0.6774,0.522,0.7119,0.2721,-0.223,0.4602
MMIF-INet,0.4401,0.9906,-0.3831,-0.2998,0.7748,0.0488,0.6269,0.9288,0.9991,1.4006,0.175,-0.2579,0.8627,-0.3994,-0.4713,-0.3994,1.1419,1.1218,1.1732,0.9402,-0.4363,0.704
LRFNet,0.4102,1.0833,1.5521,1.5032,0.5318,-0.2645,-0.4217,0.9313,0.2489,0.3767,-0.3387,0.2157,1.1475,0.1231,0.4799,0.1231,0.1236,-0.1175,0.1459,-0.2712,0.7405,0.7015
CMMDL,0.1852,-0.0733,-1.0241,-1.012,0.8611,-0.1242,0.5554,0.0391,0.5211,0.7038,0.7125,0.3164,-1.1573,0.2655,-0.1628,0.2655,1.2515,1.1952,1.2212,1.2527,-0.7305,-0.9869
GeSeNet,0.1444,-0.5996,0.1243,0.1015,0.85,-0.1405,0.5197,-0.4054,0.626,0.8482,0.7418,0.0907,-1.1692,-0.0669,-0.3848,-0.0669,0.9291,0.9181,0.946,0.6474,-0.2303,-1.2466
MBHFuse,0.0755,-1.2201,-0.9018,-0.8594,0.9014,0.8681,0.6008,-0.869,0.6007,-1.7994,0.7465,0.3594,-1.1087,0.3605,-0.1428,0.3605,1.2256,1.2716,1.1067,1.0068,-0.4951,-0.4269
ECINFusion,0.0626,-0.8752,-0.347,-0.1359,-0.0527,-0.6726,0.3658,-0.9677,-0.0824,0.0305,0.1971,1.4524,-1.0768,1.9753,1.51,1.9753,-0.4529,-0.5344,-0.4658,-1.5164,1.1965,-0.2095
DDBFusion,0.04,0.896,1.5668,1.5258,-0.6912,-0.715,0.5279,0.1958,-0.4042,0.0363,-0.1197,-0.3244,0.8735,-0.5419,-0.2949,-0.5419,-0.6455,-0.4058,-0.6808,-0.7521,0.667,0.6673
AdaFuse,0.0271,-0.4038,1.1454,1.2828,-0.2232,-0.6889,0.5788,-0.8072,-0.0177,0.4452,0.6448,1.1365,-0.8607,0.7405,0.9239,0.7405,-0.8963,-1.1134,-0.89,-0.7045,1.145,-1.6081
AWFusion,-0.1452,-0.8246,-0.2296,-0.1529,0.2147,-0.5812,0.4922,-0.2016,0.1937,0.6997,2.3118,-0.855,-1.3027,-0.8743,-2.2507,-0.8743,0.5494,0.2205,0.5661,0.4139,-0.0391,-0.5241
PSFusion,-0.1481,-1.4143,-1.3535,-1.272,0.6679,-0.2123,0.6145,-1.1944,0.3601,0.6972,1.0815,-0.1435,-1.1784,-0.3519,-0.8543,-0.3519,0.5998,0.5837,0.6281,1.1397,0.0712,-1.2282
MLFuse,-0.3583,-1.6386,-0.6256,-0.7689,0.3471,-0.5485,0.4194,-1.5574,0.2213,0.5895,0.2774,-0.1816,-1.1563,-0.3519,-0.3848,-0.3519,0.1109,0.2532,0.1107,-0.2477,0.8876,-2.9281
WaveFusion,-0.3744,0.8057,0.4132,0.3445,-0.5609,-0.6889,-1.5995,0.6014,-0.8846,-0.6446,-1.1126,-0.8593,0.1755,-0.8743,-0.1672,-0.8743,-0.8996,-0.4754,-0.9101,-0.0431,0.1153,0.2764
NestFuse,-0.5348,0.3098,-0.0712,0.0337,-1.1809,-0.7346,-1.3741,-0.1895,-1.4707,-1.1694,-1.3479,-0.8169,0.9157,-0.8743,-0.0884,-0.8743,-0.6292,-0.2917,-0.6643,0.0753,-1.4439,0.6561
TUFusion,-0.6729,0.2638,0.5807,0.5763,-1.5134,-0.7509,-1.7411,-0.1124,-1.41,-1.081,-0.879,-1.1488,0.3403,-1.0168,-0.6212,-1.0168,-1.5333,-1.4907,-1.5413,-1.0753,0.5272,0.5132
ITFuse,-0.8609,-2.3369,0.7342,0.8476,-1.9338,-0.7542,0.0909,-2.6323,-1.0132,-0.607,0.1318,-0.5577,-1.3718,-0.7318,-0.7444,-0.7318,-2.0089,-2.4958,-1.9427,-2.05,1.123,0.9071
MMAE,-0.9939,0.2066,-1.6649,-1.9107,-1.5404,-0.7509,0.1857,0.12,-1.8951,-1.7385,-1.9483,-1.8334,0.5456,-1.4442,-1.0208,-1.4442,-0.4762,0.6268,-0.5568,-1.7879,-3.2679,0.7232
